idx,distractors,condition,good,bad
209,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat have arrived.","The [wugs] near the tree, behind the car, under the box, and beside the cat has arrived."
210,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
211,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
212,1,subj_sg_d1_pl,The [wug] behind the cars has arrived.,The [wug] behind the cars have arrived.
213,1,subj_pl_d1_sg,The [wugs] behind the car have arrived.,The [wugs] behind the car has arrived.
214,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes has arrived.,The [wug] behind the cars and under the boxes have arrived.
215,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box have arrived.,The [wugs] behind the car and under the box has arrived.
216,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats has arrived.","The [wug] behind the cars, under the boxes, and beside the cats have arrived."
217,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat have arrived.","The [wugs] behind the car, under the box, and beside the cat has arrived."
218,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs has arrived.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs have arrived."
219,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog have arrived.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog has arrived."
220,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
221,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
222,1,subj_sg_d1_pl,The [wug] under the boxes has arrived.,The [wug] under the boxes have arrived.
223,1,subj_pl_d1_sg,The [wugs] under the box have arrived.,The [wugs] under the box has arrived.
224,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats has arrived.,The [wug] under the boxes and beside the cats have arrived.
225,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat have arrived.,The [wugs] under the box and beside the cat has arrived.
226,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs has arrived.","The [wug] under the boxes, beside the cats, and in front of the dogs have arrived."
227,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog have arrived.","The [wugs] under the box, beside the cat, and in front of the dog has arrived."
228,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses has arrived.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses have arrived."
229,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse have arrived.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse has arrived."
230,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
231,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
232,1,subj_sg_d1_pl,The [wug] beside the cats has arrived.,The [wug] beside the cats have arrived.
233,1,subj_pl_d1_sg,The [wugs] beside the cat have arrived.,The [wugs] beside the cat has arrived.
234,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs has arrived.,The [wug] beside the cats and in front of the dogs have arrived.
235,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog have arrived.,The [wugs] beside the cat and in front of the dog has arrived.
236,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses has arrived.","The [wug] beside the cats, in front of the dogs, and next to the horses have arrived."
237,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse have arrived.","The [wugs] beside the cat, in front of the dog, and next to the horse has arrived."
238,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women has arrived.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women have arrived."
239,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman have arrived.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman has arrived."
240,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
241,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
242,1,subj_sg_d1_pl,The [wug] in front of the dogs has arrived.,The [wug] in front of the dogs have arrived.
243,1,subj_pl_d1_sg,The [wugs] in front of the dog have arrived.,The [wugs] in front of the dog has arrived.
244,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses has arrived.,The [wug] in front of the dogs and next to the horses have arrived.
245,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse have arrived.,The [wugs] in front of the dog and next to the horse has arrived.
246,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women has arrived.","The [wug] in front of the dogs, next to the horses, and past the women have arrived."
247,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman have arrived.","The [wugs] in front of the dog, next to the horse, and past the woman has arrived."
248,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men has arrived.","The [wug] in front of the dogs, next to the horses, past the women, and near the men have arrived."
249,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man have arrived.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man has arrived."
250,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
251,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
252,1,subj_sg_d1_pl,The [wug] next to the horses has arrived.,The [wug] next to the horses have arrived.
253,1,subj_pl_d1_sg,The [wugs] next to the horse have arrived.,The [wugs] next to the horse has arrived.
254,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women has arrived.,The [wug] next to the horses and past the women have arrived.
255,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman have arrived.,The [wugs] next to the horse and past the woman has arrived.
256,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men has arrived.","The [wug] next to the horses, past the women, and near the men have arrived."
257,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man have arrived.","The [wugs] next to the horse, past the woman, and near the man has arrived."
258,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes has arrived.","The [wug] next to the horses, past the women, near the men, and behind the foxes have arrived."
259,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox have arrived.","The [wugs] next to the horse, past the woman, near the man, and behind the fox has arrived."
260,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
261,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
262,1,subj_sg_d1_pl,The [wug] past the women has arrived.,The [wug] past the women have arrived.
263,1,subj_pl_d1_sg,The [wugs] past the woman have arrived.,The [wugs] past the woman has arrived.
264,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men has arrived.,The [wug] past the women and near the men have arrived.
265,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man have arrived.,The [wugs] past the woman and near the man has arrived.
266,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes has arrived.","The [wug] past the women, near the men, and behind the foxes have arrived."
267,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox have arrived.","The [wugs] past the woman, near the man, and behind the fox has arrived."
268,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds has arrived.","The [wug] past the women, near the men, behind the foxes, and under the birds have arrived."
269,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird have arrived.","The [wugs] past the woman, near the man, behind the fox, and under the bird has arrived."
270,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
271,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
272,1,subj_sg_d1_pl,The [wug] near the men has arrived.,The [wug] near the men have arrived.
273,1,subj_pl_d1_sg,The [wugs] near the man have arrived.,The [wugs] near the man has arrived.
274,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes has arrived.,The [wug] near the men and behind the foxes have arrived.
275,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox have arrived.,The [wugs] near the man and behind the fox has arrived.
276,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds has arrived.","The [wug] near the men, behind the foxes, and under the birds have arrived."
277,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird have arrived.","The [wugs] near the man, behind the fox, and under the bird has arrived."
278,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees has arrived.","The [wug] near the men, behind the foxes, under the birds, and beside the trees have arrived."
279,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree have arrived.","The [wugs] near the man, behind the fox, under the bird, and beside the tree has arrived."
280,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
281,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
282,1,subj_sg_d1_pl,The [wug] behind the foxes has arrived.,The [wug] behind the foxes have arrived.
283,1,subj_pl_d1_sg,The [wugs] behind the fox have arrived.,The [wugs] behind the fox has arrived.
284,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds has arrived.,The [wug] behind the foxes and under the birds have arrived.
285,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird have arrived.,The [wugs] behind the fox and under the bird has arrived.
286,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees has arrived.","The [wug] behind the foxes, under the birds, and beside the trees have arrived."
287,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree have arrived.","The [wugs] behind the fox, under the bird, and beside the tree has arrived."
288,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars has arrived.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars have arrived."
289,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car have arrived.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car has arrived."
290,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
291,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
292,1,subj_sg_d1_pl,The [wug] under the birds has arrived.,The [wug] under the birds have arrived.
293,1,subj_pl_d1_sg,The [wugs] under the bird have arrived.,The [wugs] under the bird has arrived.
294,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees has arrived.,The [wug] under the birds and beside the trees have arrived.
295,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree have arrived.,The [wugs] under the bird and beside the tree has arrived.
296,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars has arrived.","The [wug] under the birds, beside the trees, and in front of the cars have arrived."
297,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car have arrived.","The [wugs] under the bird, beside the tree, and in front of the car has arrived."
298,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes has arrived.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes have arrived."
299,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box have arrived.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box has arrived."
300,0,subj_sg,The [wug] does understand.,The [wug] do understand.
301,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
302,1,subj_sg_d1_pl,The [wug] near the trees does understand.,The [wug] near the trees do understand.
303,1,subj_pl_d1_sg,The [wugs] near the tree do understand.,The [wugs] near the tree does understand.
304,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars does understand.,The [wug] near the trees and behind the cars do understand.
305,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car do understand.,The [wugs] near the tree and behind the car does understand.
306,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes does understand.","The [wug] near the trees, behind the cars, and under the boxes do understand."
307,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box do understand.","The [wugs] near the tree, behind the car, and under the box does understand."
308,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats does understand.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats do understand."
309,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat do understand.","The [wugs] near the tree, behind the car, under the box, and beside the cat does understand."
310,0,subj_sg,The [wug] does understand.,The [wug] do understand.
311,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
312,1,subj_sg_d1_pl,The [wug] behind the cars does understand.,The [wug] behind the cars do understand.
313,1,subj_pl_d1_sg,The [wugs] behind the car do understand.,The [wugs] behind the car does understand.
314,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes does understand.,The [wug] behind the cars and under the boxes do understand.
315,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box do understand.,The [wugs] behind the car and under the box does understand.
316,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats does understand.","The [wug] behind the cars, under the boxes, and beside the cats do understand."
317,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat do understand.","The [wugs] behind the car, under the box, and beside the cat does understand."
318,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs does understand.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs do understand."
319,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog do understand.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog does understand."
320,0,subj_sg,The [wug] does understand.,The [wug] do understand.
321,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
322,1,subj_sg_d1_pl,The [wug] under the boxes does understand.,The [wug] under the boxes do understand.
323,1,subj_pl_d1_sg,The [wugs] under the box do understand.,The [wugs] under the box does understand.
324,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats does understand.,The [wug] under the boxes and beside the cats do understand.
325,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat do understand.,The [wugs] under the box and beside the cat does understand.
326,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs does understand.","The [wug] under the boxes, beside the cats, and in front of the dogs do understand."
327,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog do understand.","The [wugs] under the box, beside the cat, and in front of the dog does understand."
328,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses does understand.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses do understand."
329,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse do understand.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse does understand."
330,0,subj_sg,The [wug] does understand.,The [wug] do understand.
331,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
332,1,subj_sg_d1_pl,The [wug] beside the cats does understand.,The [wug] beside the cats do understand.
333,1,subj_pl_d1_sg,The [wugs] beside the cat do understand.,The [wugs] beside the cat does understand.
334,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs does understand.,The [wug] beside the cats and in front of the dogs do understand.
335,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog do understand.,The [wugs] beside the cat and in front of the dog does understand.
336,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses does understand.","The [wug] beside the cats, in front of the dogs, and next to the horses do understand."
337,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse do understand.","The [wugs] beside the cat, in front of the dog, and next to the horse does understand."
338,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women does understand.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women do understand."
339,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman do understand.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman does understand."
340,0,subj_sg,The [wug] does understand.,The [wug] do understand.
341,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
342,1,subj_sg_d1_pl,The [wug] in front of the dogs does understand.,The [wug] in front of the dogs do understand.
343,1,subj_pl_d1_sg,The [wugs] in front of the dog do understand.,The [wugs] in front of the dog does understand.
344,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses does understand.,The [wug] in front of the dogs and next to the horses do understand.
345,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse do understand.,The [wugs] in front of the dog and next to the horse does understand.
346,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women does understand.","The [wug] in front of the dogs, next to the horses, and past the women do understand."
347,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman do understand.","The [wugs] in front of the dog, next to the horse, and past the woman does understand."
348,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men does understand.","The [wug] in front of the dogs, next to the horses, past the women, and near the men do understand."
349,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man do understand.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man does understand."
350,0,subj_sg,The [wug] does understand.,The [wug] do understand.
351,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
352,1,subj_sg_d1_pl,The [wug] next to the horses does understand.,The [wug] next to the horses do understand.
353,1,subj_pl_d1_sg,The [wugs] next to the horse do understand.,The [wugs] next to the horse does understand.
354,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women does understand.,The [wug] next to the horses and past the women do understand.
355,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman do understand.,The [wugs] next to the horse and past the woman does understand.
356,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men does understand.","The [wug] next to the horses, past the women, and near the men do understand."
357,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man do understand.","The [wugs] next to the horse, past the woman, and near the man does understand."
358,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes does understand.","The [wug] next to the horses, past the women, near the men, and behind the foxes do understand."
359,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox do understand.","The [wugs] next to the horse, past the woman, near the man, and behind the fox does understand."
360,0,subj_sg,The [wug] does understand.,The [wug] do understand.
361,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
362,1,subj_sg_d1_pl,The [wug] past the women does understand.,The [wug] past the women do understand.
363,1,subj_pl_d1_sg,The [wugs] past the woman do understand.,The [wugs] past the woman does understand.
364,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men does understand.,The [wug] past the women and near the men do understand.
365,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man do understand.,The [wugs] past the woman and near the man does understand.
366,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes does understand.","The [wug] past the women, near the men, and behind the foxes do understand."
367,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox do understand.","The [wugs] past the woman, near the man, and behind the fox does understand."
368,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds does understand.","The [wug] past the women, near the men, behind the foxes, and under the birds do understand."
369,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird do understand.","The [wugs] past the woman, near the man, behind the fox, and under the bird does understand."
370,0,subj_sg,The [wug] does understand.,The [wug] do understand.
371,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
372,1,subj_sg_d1_pl,The [wug] near the men does understand.,The [wug] near the men do understand.
373,1,subj_pl_d1_sg,The [wugs] near the man do understand.,The [wugs] near the man does understand.
374,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes does understand.,The [wug] near the men and behind the foxes do understand.
375,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox do understand.,The [wugs] near the man and behind the fox does understand.
376,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds does understand.","The [wug] near the men, behind the foxes, and under the birds do understand."
377,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird do understand.","The [wugs] near the man, behind the fox, and under the bird does understand."
378,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees does understand.","The [wug] near the men, behind the foxes, under the birds, and beside the trees do understand."
379,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree do understand.","The [wugs] near the man, behind the fox, under the bird, and beside the tree does understand."
380,0,subj_sg,The [wug] does understand.,The [wug] do understand.
381,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
382,1,subj_sg_d1_pl,The [wug] behind the foxes does understand.,The [wug] behind the foxes do understand.
383,1,subj_pl_d1_sg,The [wugs] behind the fox do understand.,The [wugs] behind the fox does understand.
384,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds does understand.,The [wug] behind the foxes and under the birds do understand.
385,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird do understand.,The [wugs] behind the fox and under the bird does understand.
386,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees does understand.","The [wug] behind the foxes, under the birds, and beside the trees do understand."
387,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree do understand.","The [wugs] behind the fox, under the bird, and beside the tree does understand."
388,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars does understand.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars do understand."
389,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car do understand.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car does understand."
390,0,subj_sg,The [wug] does understand.,The [wug] do understand.
391,0,subj_pl,The [wugs] do understand.,The [wugs] does understand.
392,1,subj_sg_d1_pl,The [wug] under the birds does understand.,The [wug] under the birds do understand.
393,1,subj_pl_d1_sg,The [wugs] under the bird do understand.,The [wugs] under the bird does understand.
394,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees does understand.,The [wug] under the birds and beside the trees do understand.
395,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree do understand.,The [wugs] under the bird and beside the tree does understand.
396,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars does understand.","The [wug] under the birds, beside the trees, and in front of the cars do understand."
397,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car do understand.","The [wugs] under the bird, beside the tree, and in front of the car does understand."
398,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes does understand.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes do understand."
399,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box do understand.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box does understand."
400,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
401,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
402,1,subj_sg_d1_pl,The [wug] near the trees jumps high.,The [wug] near the trees jump high.
403,1,subj_pl_d1_sg,The [wugs] near the tree jump high.,The [wugs] near the tree jumps high.
404,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars jumps high.,The [wug] near the trees and behind the cars jump high.
405,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car jump high.,The [wugs] near the tree and behind the car jumps high.
406,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes jumps high.","The [wug] near the trees, behind the cars, and under the boxes jump high."
407,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box jump high.","The [wugs] near the tree, behind the car, and under the box jumps high."
408,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats jumps high.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats jump high."
409,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat jump high.","The [wugs] near the tree, behind the car, under the box, and beside the cat jumps high."
410,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
411,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
412,1,subj_sg_d1_pl,The [wug] behind the cars jumps high.,The [wug] behind the cars jump high.
413,1,subj_pl_d1_sg,The [wugs] behind the car jump high.,The [wugs] behind the car jumps high.
414,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes jumps high.,The [wug] behind the cars and under the boxes jump high.
415,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box jump high.,The [wugs] behind the car and under the box jumps high.
416,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats jumps high.","The [wug] behind the cars, under the boxes, and beside the cats jump high."
417,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat jump high.","The [wugs] behind the car, under the box, and beside the cat jumps high."
418,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs jumps high.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs jump high."
419,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog jump high.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog jumps high."
420,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
