idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl
3272,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The bold frog,The bold frogs,The bold frog is,The bold frog are,The bold frogs are,The bold frogs is,4,4
3273,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The elderly seal,The elderly seals,The elderly seal is,The elderly seal are,The elderly seals are,The elderly seals is,4,4
3274,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The weak seal,The weak seals,The weak seal is,The weak seal are,The weak seals are,The weak seals is,4,4
3275,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The composed pup,The composed pups,The composed pup is,The composed pup are,The composed pups are,The composed pups is,4,4
3276,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The angry turtle,The angry turtles,The angry turtle is,The angry turtle are,The angry turtles are,The angry turtles is,4,4
3277,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The loud worm,The loud worms,The loud worm is,The loud worm are,The loud worms are,The loud worms is,4,4
3278,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The creamy puppy,The creamy puppies,The creamy puppy is,The creamy puppy are,The creamy puppies are,The creamy puppies is,4,4
3279,train,copula,0,target_copula_att0_opp,whale,whales,is,are,The blond whale,The blond whales,The blond whale is,The blond whale are,The blond whales are,The blond whales is,4,4
3280,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The rigid frog,The rigid frogs,The rigid frog is,The rigid frog are,The rigid frogs are,The rigid frogs is,4,4
3281,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The rust turtle,The rust turtles,The rust turtle is,The rust turtle are,The rust turtles are,The rust turtles is,4,4
3282,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The giant dolphin,The giant dolphins,The giant dolphin is,The giant dolphin are,The giant dolphins are,The giant dolphins is,4,4
3283,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The sad bird,The sad birds,The sad bird is,The sad bird are,The sad birds are,The sad birds is,4,4
3284,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The blond panda,The blond pandas,The blond panda is,The blond panda are,The blond pandas are,The blond pandas is,4,4
3285,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The slow bat,The slow bats,The slow bat is,The slow bat are,The slow bats are,The slow bats is,4,4
3286,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The rotten spider,The rotten spiders,The rotten spider is,The rotten spider are,The rotten spiders are,The rotten spiders is,4,4
3287,train,copula,0,target_copula_att0_opp,cat,cats,is,are,The savage cat,The savage cats,The savage cat is,The savage cat are,The savage cats are,The savage cats is,4,4
3288,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The amber bird,The amber birds,The amber bird is,The amber bird are,The amber birds are,The amber birds is,4,4
3289,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The sandy dog,The sandy dogs,The sandy dog is,The sandy dog are,The sandy dogs are,The sandy dogs is,4,4
3290,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The sad frog,The sad frogs,The sad frog is,The sad frog are,The sad frogs are,The sad frogs is,4,4
3291,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The glaring panda,The glaring pandas,The glaring panda is,The glaring panda are,The glaring pandas are,The glaring pandas is,4,4
3292,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The small dog,The small dogs,The small dog is,The small dog are,The small dogs are,The small dogs is,4,4
3293,train,copula,0,target_copula_att0_opp,cat,cats,is,are,The yellow cat,The yellow cats,The yellow cat is,The yellow cat are,The yellow cats are,The yellow cats is,4,4
3294,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The worn lion,The worn lions,The worn lion is,The worn lion are,The worn lions are,The worn lions is,4,4
3295,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The teal calf,The teal calves,The teal calf is,The teal calf are,The teal calves are,The teal calves is,4,4
3296,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The beige kit,The beige kits,The beige kit is,The beige kit are,The beige kits are,The beige kits is,4,4
3297,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The graceful spider,The graceful spiders,The graceful spider is,The graceful spider are,The graceful spiders are,The graceful spiders is,4,4
3298,train,copula,0,target_copula_att0_opp,monitor,monitors,is,are,The turquoise monitor,The turquoise monitors,The turquoise monitor is,The turquoise monitor are,The turquoise monitors are,The turquoise monitors is,4,4
3299,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The cruel dolphin,The cruel dolphins,The cruel dolphin is,The cruel dolphin are,The cruel dolphins are,The cruel dolphins is,4,4
3300,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The ripe kit,The ripe kits,The ripe kit is,The ripe kit are,The ripe kits are,The ripe kits is,4,4
3301,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The kindly kit,The kindly kits,The kindly kit is,The kindly kit are,The kindly kits are,The kindly kits is,4,4
3302,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The narrow tick,The narrow ticks,The narrow tick is,The narrow tick are,The narrow ticks are,The narrow ticks is,4,4
3303,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The strong bird,The strong birds,The strong bird is,The strong bird are,The strong birds are,The strong birds is,4,4
3304,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The azure dolphin,The azure dolphins,The azure dolphin is,The azure dolphin are,The azure dolphins are,The azure dolphins is,4,4
3305,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The sluggish lion,The sluggish lions,The sluggish lion is,The sluggish lion are,The sluggish lions are,The sluggish lions is,4,4
3306,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The broad turtle,The broad turtles,The broad turtle is,The broad turtle are,The broad turtles are,The broad turtles is,4,4
3307,train,copula,0,target_copula_att0_opp,goat,goats,is,are,The hot goat,The hot goats,The hot goat is,The hot goat are,The hot goats are,The hot goats is,4,4
3308,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The hungry tick,The hungry ticks,The hungry tick is,The hungry tick are,The hungry ticks are,The hungry ticks is,4,4
3309,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The foolish seal,The foolish seals,The foolish seal is,The foolish seal are,The foolish seals are,The foolish seals is,4,4
3310,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The sparkling dolphin,The sparkling dolphins,The sparkling dolphin is,The sparkling dolphin are,The sparkling dolphins are,The sparkling dolphins is,4,4
3311,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The dull bird,The dull birds,The dull bird is,The dull bird are,The dull birds are,The dull birds is,4,4
3312,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The detached dolphin,The detached dolphins,The detached dolphin is,The detached dolphin are,The detached dolphins are,The detached dolphins is,4,4
3313,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The teal kit,The teal kits,The teal kit is,The teal kit are,The teal kits are,The teal kits is,4,4
3314,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The flawless frog,The flawless frogs,The flawless frog is,The flawless frog are,The flawless frogs are,The flawless frogs is,4,4
3315,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The noisy lion,The noisy lions,The noisy lion is,The noisy lion are,The noisy lions are,The noisy lions is,4,4
3316,train,copula,0,target_copula_att0_opp,goat,goats,is,are,The bent goat,The bent goats,The bent goat is,The bent goat are,The bent goats are,The bent goats is,4,4
3317,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The cherry puppy,The cherry puppies,The cherry puppy is,The cherry puppy are,The cherry puppies are,The cherry puppies is,4,4
3318,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The rotten dolphin,The rotten dolphins,The rotten dolphin is,The rotten dolphin are,The rotten dolphins are,The rotten dolphins is,4,4
3319,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The amber bat,The amber bats,The amber bat is,The amber bat are,The amber bats are,The amber bats is,4,4
3320,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The cruel turtle,The cruel turtles,The cruel turtle is,The cruel turtle are,The cruel turtles are,The cruel turtles is,4,4
3321,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The lean calf,The lean calves,The lean calf is,The lean calf are,The lean calves are,The lean calves is,4,4
3322,train,copula,0,target_copula_att0_opp,monitor,monitors,is,are,The yellow monitor,The yellow monitors,The yellow monitor is,The yellow monitor are,The yellow monitors are,The yellow monitors is,4,4
3323,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The mighty dog,The mighty dogs,The mighty dog is,The mighty dog are,The mighty dogs are,The mighty dogs is,4,4
3324,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The ivory tick,The ivory ticks,The ivory tick is,The ivory tick are,The ivory ticks are,The ivory ticks is,4,4
3325,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The barred pup,The barred pups,The barred pup is,The barred pup are,The barred pups are,The barred pups is,4,4
3326,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The warm ray,The warm rays,The warm ray is,The warm ray are,The warm rays are,The warm rays is,4,4
3327,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The clear dolphin,The clear dolphins,The clear dolphin is,The clear dolphin are,The clear dolphins are,The clear dolphins is,4,4
3328,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The red dog,The red dogs,The red dog is,The red dog are,The red dogs are,The red dogs is,4,4
3329,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The quiet lion,The quiet lions,The quiet lion is,The quiet lion are,The quiet lions are,The quiet lions is,4,4
3330,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The mature calf,The mature calves,The mature calf is,The mature calf are,The mature calves are,The mature calves is,4,4
3331,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The yellow ray,The yellow rays,The yellow ray is,The yellow ray are,The yellow rays are,The yellow rays is,4,4
3332,train,copula,0,target_copula_att0_opp,whale,whales,is,are,The red whale,The red whales,The red whale is,The red whale are,The red whales are,The red whales is,4,4
3333,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The beige bat,The beige bats,The beige bat is,The beige bat are,The beige bats are,The beige bats is,4,4
3334,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The rigid panda,The rigid pandas,The rigid panda is,The rigid panda are,The rigid pandas are,The rigid pandas is,4,4
3335,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The hot puppy,The hot puppies,The hot puppy is,The hot puppy are,The hot puppies are,The hot puppies is,4,4
3336,train,copula,0,target_copula_att0_opp,goat,goats,is,are,The silky goat,The silky goats,The silky goat is,The silky goat are,The silky goats are,The silky goats is,4,4
3337,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The massive ray,The massive rays,The massive ray is,The massive ray are,The massive rays are,The massive rays is,4,4
3338,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The sharp calf,The sharp calves,The sharp calf is,The sharp calf are,The sharp calves are,The sharp calves is,4,4
3339,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The small tick,The small ticks,The small tick is,The small tick are,The small ticks are,The small ticks is,4,4
3340,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The lush seal,The lush seals,The lush seal is,The lush seal are,The lush seals are,The lush seals is,4,4
3341,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The velvet pup,The velvet pups,The velvet pup is,The velvet pup are,The velvet pups are,The velvet pups is,4,4
3342,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The poised bat,The poised bats,The poised bat is,The poised bat are,The poised bats are,The poised bats is,4,4
3343,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The sad worm,The sad worms,The sad worm is,The sad worm are,The sad worms are,The sad worms is,4,4
3344,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The curved kit,The curved kits,The curved kit is,The curved kit are,The curved kits are,The curved kits is,4,4
3345,train,copula,0,target_copula_att0_opp,cat,cats,is,are,The aged cat,The aged cats,The aged cat is,The aged cat are,The aged cats are,The aged cats is,4,4
3346,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The bald calf,The bald calves,The bald calf is,The bald calf are,The bald calves are,The bald calves is,4,4
3347,train,copula,0,target_copula_att0_opp,goat,goats,is,are,The curious goat,The curious goats,The curious goat is,The curious goat are,The curious goats are,The curious goats is,4,4
3348,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The elegant bird,The elegant birds,The elegant bird is,The elegant bird are,The elegant birds are,The elegant birds is,4,4
3349,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The giant turtle,The giant turtles,The giant turtle is,The giant turtle are,The giant turtles are,The giant turtles is,4,4
3350,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The blatant panda,The blatant pandas,The blatant panda is,The blatant panda are,The blatant pandas are,The blatant pandas is,4,4
3351,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The humane bird,The humane birds,The humane bird is,The humane bird are,The humane birds are,The humane birds is,4,4
3352,train,copula,0,target_copula_att0_opp,goat,goats,is,are,The rank goat,The rank goats,The rank goat is,The rank goat are,The rank goats are,The rank goats is,4,4
3353,train,copula,0,target_copula_att0_opp,whale,whales,is,are,The ripe whale,The ripe whales,The ripe whale is,The ripe whale are,The ripe whales are,The ripe whales is,4,4
3354,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The violet dolphin,The violet dolphins,The violet dolphin is,The violet dolphin are,The violet dolphins are,The violet dolphins is,4,4
3355,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The happy lion,The happy lions,The happy lion is,The happy lion are,The happy lions are,The happy lions is,4,4
3356,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The slow dog,The slow dogs,The slow dog is,The slow dog are,The slow dogs are,The slow dogs is,4,4
3357,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The velvet spider,The velvet spiders,The velvet spider is,The velvet spider are,The velvet spiders are,The velvet spiders is,4,4
3358,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The wild worm,The wild worms,The wild worm is,The wild worm are,The wild worms are,The wild worms is,4,4
3359,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The purple ray,The purple rays,The purple ray is,The purple ray are,The purple rays are,The purple rays is,4,4
3360,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The minor bat,The minor bats,The minor bat is,The minor bat are,The minor bats are,The minor bats is,4,4
3361,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The stout pup,The stout pups,The stout pup is,The stout pup are,The stout pups are,The stout pups is,4,4
3362,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The barred dolphin,The barred dolphins,The barred dolphin is,The barred dolphin are,The barred dolphins are,The barred dolphins is,4,4
3363,train,copula,0,target_copula_att0_opp,calf,calves,is,are,The old calf,The old calves,The old calf is,The old calf are,The old calves are,The old calves is,4,4
3364,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The graceful lion,The graceful lions,The graceful lion is,The graceful lion are,The graceful lions are,The graceful lions is,4,4
3365,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The sour panda,The sour pandas,The sour panda is,The sour panda are,The sour pandas are,The sour pandas is,4,4
3366,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The savory seal,The savory seals,The savory seal is,The savory seal are,The savory seals are,The savory seals is,4,4
3367,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The broad ray,The broad rays,The broad ray is,The broad ray are,The broad rays are,The broad rays is,4,4
3368,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The dun turtle,The dun turtles,The dun turtle is,The dun turtle are,The dun turtles are,The dun turtles is,4,4
3369,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The humid bat,The humid bats,The humid bat is,The humid bat are,The humid bats are,The humid bats is,4,4
3370,train,copula,0,target_copula_att0_opp,cat,cats,is,are,The warm cat,The warm cats,The warm cat is,The warm cat are,The warm cats are,The warm cats is,4,4
3371,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The muddy pup,The muddy pups,The muddy pup is,The muddy pup are,The muddy pups are,The muddy pups is,4,4
3372,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The savage turtle,The savage turtles,The savage turtle is,The savage turtle are,The savage turtles are,The savage turtles is,4,4
3373,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The bulky kit,The bulky kits,The bulky kit is,The bulky kit are,The bulky kits are,The bulky kits is,4,4
3374,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The bland kit,The bland kits,The bland kit is,The bland kit are,The bland kits are,The bland kits is,4,4
3375,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The matte tick,The matte ticks,The matte tick is,The matte tick are,The matte ticks are,The matte ticks is,4,4
3376,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The ebony tick,The ebony ticks,The ebony tick is,The ebony tick are,The ebony ticks are,The ebony ticks is,4,4
3377,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The sparkling spider,The sparkling spiders,The sparkling spider is,The sparkling spider are,The sparkling spiders are,The sparkling spiders is,4,4
3378,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The massive turtle,The massive turtles,The massive turtle is,The massive turtle are,The massive turtles are,The massive turtles is,4,4
3379,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The humane tick,The humane ticks,The humane tick is,The humane tick are,The humane ticks are,The humane ticks is,4,4
3380,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The squat worm,The squat worms,The squat worm is,The squat worm are,The squat worms are,The squat worms is,4,4
3381,train,copula,0,target_copula_att0_opp,bear,bears,is,are,The humid bear,The humid bears,The humid bear is,The humid bear are,The humid bears are,The humid bears is,4,4
3382,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The blond tick,The blond ticks,The blond tick is,The blond tick are,The blond ticks are,The blond ticks is,4,4
3383,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The compact tick,The compact ticks,The compact tick is,The compact tick are,The compact ticks are,The compact ticks is,4,4
3384,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The sleepy panda,The sleepy pandas,The sleepy panda is,The sleepy panda are,The sleepy pandas are,The sleepy pandas is,4,4
3385,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The bent lion,The bent lions,The bent lion is,The bent lion are,The bent lions are,The bent lions is,4,4
3386,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The velvet seal,The velvet seals,The velvet seal is,The velvet seal are,The velvet seals are,The velvet seals is,4,4
3387,train,copula,0,target_copula_att0_opp,cat,cats,is,are,The silky cat,The silky cats,The silky cat is,The silky cat are,The silky cats are,The silky cats is,4,4
3388,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The flawless bat,The flawless bats,The flawless bat is,The flawless bat are,The flawless bats are,The flawless bats is,4,4
3389,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The bounding worm,The bounding worms,The bounding worm is,The bounding worm are,The bounding worms are,The bounding worms is,4,4
3390,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The stout spider,The stout spiders,The stout spider is,The stout spider are,The stout spiders are,The stout spiders is,4,4
3391,train,copula,0,target_copula_att0_opp,monitor,monitors,is,are,The detached monitor,The detached monitors,The detached monitor is,The detached monitor are,The detached monitors are,The detached monitors is,4,4
3392,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The blatant kit,The blatant kits,The blatant kit is,The blatant kit are,The blatant kits are,The blatant kits is,4,4
3393,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The ginger puppy,The ginger puppies,The ginger puppy is,The ginger puppy are,The ginger puppies are,The ginger puppies is,4,4
3394,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The jet pup,The jet pups,The jet pup is,The jet pup are,The jet pups are,The jet pups is,4,4
3395,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The coral panda,The coral pandas,The coral panda is,The coral panda are,The coral pandas are,The coral pandas is,4,4
3396,train,copula,0,target_copula_att0_opp,whale,whales,is,are,The hungry whale,The hungry whales,The hungry whale is,The hungry whale are,The hungry whales are,The hungry whales is,4,4
3397,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The angry ray,The angry rays,The angry ray is,The angry ray are,The angry rays are,The angry rays is,4,4
3398,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The bland frog,The bland frogs,The bland frog is,The bland frog are,The bland frogs are,The bland frogs is,4,4
3399,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The sleepy tick,The sleepy ticks,The sleepy tick is,The sleepy tick are,The sleepy ticks are,The sleepy ticks is,4,4
3400,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The worn turtle,The worn turtles,The worn turtle is,The worn turtle are,The worn turtles are,The worn turtles is,4,4
3401,train,copula,0,target_copula_att0_opp,bear,bears,is,are,The lean bear,The lean bears,The lean bear is,The lean bear are,The lean bears are,The lean bears is,4,4
3402,train,copula,0,target_copula_att0_opp,seal,seals,is,are,The hefty seal,The hefty seals,The hefty seal is,The hefty seal are,The hefty seals are,The hefty seals is,4,4
3403,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The wide ray,The wide rays,The wide ray is,The wide ray are,The wide rays are,The wide rays is,4,4
3404,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The green dog,The green dogs,The green dog is,The green dog are,The green dogs are,The green dogs is,4,4
3405,train,copula,0,target_copula_att0_opp,bat,bats,is,are,The squat bat,The squat bats,The squat bat is,The squat bat are,The squat bats are,The squat bats is,4,4
3406,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The glaring kit,The glaring kits,The glaring kit is,The glaring kit are,The glaring kits are,The glaring kits is,4,4
3407,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The manic worm,The manic worms,The manic worm is,The manic worm are,The manic worms are,The manic worms is,4,4
3408,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The humid tick,The humid ticks,The humid tick is,The humid tick are,The humid ticks are,The humid ticks is,4,4
3409,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The rust ray,The rust rays,The rust ray is,The rust ray are,The rust rays are,The rust rays is,4,4
3410,train,copula,0,target_copula_att0_opp,spider,spiders,is,are,The violet spider,The violet spiders,The violet spider is,The violet spider are,The violet spiders are,The violet spiders is,4,4
3411,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The stout turtle,The stout turtles,The stout turtle is,The stout turtle are,The stout turtles are,The stout turtles is,4,4
3412,train,copula,0,target_copula_att0_opp,monitor,monitors,is,are,The violet monitor,The violet monitors,The violet monitor is,The violet monitor are,The violet monitors are,The violet monitors is,4,4
3413,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The giant ray,The giant rays,The giant ray is,The giant ray are,The giant rays are,The giant rays is,4,4
3414,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The diligent panda,The diligent pandas,The diligent panda is,The diligent panda are,The diligent pandas are,The diligent pandas is,4,4
3415,train,copula,0,target_copula_att0_opp,ray,rays,is,are,The noisy ray,The noisy rays,The noisy ray is,The noisy ray are,The noisy rays are,The noisy rays is,4,4
3416,train,copula,0,target_copula_att0_opp,bear,bears,is,are,The tidy bear,The tidy bears,The tidy bear is,The tidy bear are,The tidy bears are,The tidy bears is,4,4
3417,train,copula,0,target_copula_att0_opp,bear,bears,is,are,The idle bear,The idle bears,The idle bear is,The idle bear are,The idle bears are,The idle bears is,4,4
3418,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The poised kit,The poised kits,The poised kit is,The poised kit are,The poised kits are,The poised kits is,4,4
3419,train,copula,0,target_copula_att0_opp,pup,pups,is,are,The savory pup,The savory pups,The savory pup is,The savory pup are,The savory pups are,The savory pups is,4,4
3420,train,copula,0,target_copula_att0_opp,bear,bears,is,are,The hostile bear,The hostile bears,The hostile bear is,The hostile bear are,The hostile bears are,The hostile bears is,4,4
3421,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The sharp bird,The sharp birds,The sharp bird is,The sharp bird are,The sharp birds are,The sharp birds is,4,4
3422,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The frantic turtle,The frantic turtles,The frantic turtle is,The frantic turtle are,The frantic turtles are,The frantic turtles is,4,4
3423,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The wide puppy,The wide puppies,The wide puppy is,The wide puppy are,The wide puppies are,The wide puppies is,4,4
3424,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The sad dog,The sad dogs,The sad dog is,The sad dog are,The sad dogs are,The sad dogs is,4,4
3425,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The flowering tick,The flowering ticks,The flowering tick is,The flowering tick are,The flowering ticks are,The flowering ticks is,4,4
3426,train,copula,0,target_copula_att0_opp,kit,kits,is,are,The rigid kit,The rigid kits,The rigid kit is,The rigid kit are,The rigid kits are,The rigid kits is,4,4
3427,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The muscular turtle,The muscular turtles,The muscular turtle is,The muscular turtle are,The muscular turtles are,The muscular turtles is,4,4
3428,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The smooth worm,The smooth worms,The smooth worm is,The smooth worm are,The smooth worms are,The smooth worms is,4,4
3429,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The active lion,The active lions,The active lion is,The active lion are,The active lions are,The active lions is,4,4
3430,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The angry puppy,The angry puppies,The angry puppy is,The angry puppy are,The angry puppies are,The angry puppies is,4,4
3431,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The bounding tick,The bounding ticks,The bounding tick is,The bounding tick are,The bounding ticks are,The bounding ticks is,4,4
3432,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The turquoise dolphin,The turquoise dolphins,The turquoise dolphin is,The turquoise dolphin are,The turquoise dolphins are,The turquoise dolphins is,4,4
3433,train,copula,0,target_copula_att0_opp,whale,whales,is,are,The manic whale,The manic whales,The manic whale is,The manic whale are,The manic whales are,The manic whales is,4,4
3434,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The elegant frog,The elegant frogs,The elegant frog is,The elegant frog are,The elegant frogs are,The elegant frogs is,4,4
3435,train,copula,0,target_copula_att0_opp,frog,frogs,is,are,The frail frog,The frail frogs,The frail frog is,The frail frog are,The frail frogs are,The frail frogs is,4,4
3436,train,copula,0,target_copula_att0_opp,tick,ticks,is,are,The flawless tick,The flawless ticks,The flawless tick is,The flawless tick are,The flawless ticks are,The flawless ticks is,4,4
3437,train,copula,0,target_copula_att0_opp,panda,pandas,is,are,The sandy panda,The sandy pandas,The sandy panda is,The sandy panda are,The sandy pandas are,The sandy pandas is,4,4
3438,train,copula,0,target_copula_att0_opp,puppy,puppies,is,are,The broad puppy,The broad puppies,The broad puppy is,The broad puppy are,The broad puppies are,The broad puppies is,4,4
3439,train,copula,0,target_copula_att0_opp,lion,lions,is,are,The airy lion,The airy lions,The airy lion is,The airy lion are,The airy lions are,The airy lions is,4,4
3440,train,copula,0,target_copula_att0_opp,bird,birds,is,are,The mature bird,The mature birds,The mature bird is,The mature bird are,The mature birds are,The mature birds is,4,4
3441,train,copula,0,target_copula_att0_opp,dog,dogs,is,are,The soft dog,The soft dogs,The soft dog is,The soft dog are,The soft dogs are,The soft dogs is,4,4
3442,train,copula,0,target_copula_att0_opp,turtle,turtles,is,are,The active turtle,The active turtles,The active turtle is,The active turtle are,The active turtles are,The active turtles is,4,4
3443,train,copula,0,target_copula_att0_opp,worm,worms,is,are,The coal worm,The coal worms,The coal worm is,The coal worm are,The coal worms are,The coal worms is,4,4
3444,train,copula,0,target_copula_att0_opp,dolphin,dolphins,is,are,The jet dolphin,The jet dolphins,The jet dolphin is,The jet dolphin are,The jet dolphins are,The jet dolphins is,4,4
