idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
901,train,verb,1,target_verb_att1_opp,kitten,kittens,is,are,The calm kitten around the columns,The calm kittens around the column,The calm kitten around the columns is,The calm kitten around the columns are,The calm kittens around the column are,The calm kittens around the column is,7,7,9f17c2e6-f281-4c7b-858f-a170c4e1f7e8,4e189f9e-1c1d-413a-88b6-c5b1951b3a16,b6deb2b4-1b2c-41b6-ab54-71a8df58415e
902,train,verb,1,target_verb_att1_opp,kitten,kittens,pulls,pull,The quiet kitten behind the signs,The quiet kittens behind the sign,The quiet kitten behind the signs pulls,The quiet kitten behind the signs pull,The quiet kittens behind the sign pull,The quiet kittens behind the sign pulls,7,7,a72201e8-2537-4ca8-a426-190b941f9933,0991a8cb-4de8-4e4b-b5a0-68119e61e64a,ba28c932-3d11-4d19-ba0d-70309d5e20a0
903,train,verb,1,target_verb_att1_opp,dog,dogs,explores,explore,The nervous dog past the cars,The nervous dogs past the car,The nervous dog past the cars explores,The nervous dog past the cars explore,The nervous dogs past the car explore,The nervous dogs past the car explores,7,7,b2c46ac0-f9ca-4a04-8960-f328ecb5eacd,3c128685-43ad-4070-bd9b-c7b28e6598a0,6657a5be-618e-48ad-9d20-a3ff0800a28c
904,train,verb,1,target_verb_att1_opp,lion,lions,is,are,The bright lion beneath the milestones,The bright lions beneath the milestone,The bright lion beneath the milestones is,The bright lion beneath the milestones are,The bright lions beneath the milestone are,The bright lions beneath the milestone is,7,7,1da3fbbe-6bd5-46b6-91b8-84a38bb458a2,65dfc78b-a72c-4f30-8dbe-890097a76549,5338c2db-db7e-411d-9bd2-edd4928c1920
905,train,verb,1,target_verb_att1_opp,turtle,turtles,warns,warn,The slender turtle past the logs,The slender turtles past the log,The slender turtle past the logs warns,The slender turtle past the logs warn,The slender turtles past the log warn,The slender turtles past the log warns,7,7,3f3831d5-fa0a-4ff4-9b12-8e1f4116cddc,b058f723-9ec9-4bc0-bf9b-dfdc0700e817,6fec5008-60e8-498b-b51d-7aab92904d7e
906,train,verb,1,target_verb_att1_opp,whale,whales,attacks,attack,The nervous whale beneath the chains,The nervous whales beneath the chain,The nervous whale beneath the chains attacks,The nervous whale beneath the chains attack,The nervous whales beneath the chain attack,The nervous whales beneath the chain attacks,7,7,e55267c9-ee38-4ebd-800e-85915d70738e,4db90c73-044c-4e06-b030-dbc46acfa92e,a0482c87-5a79-4d92-a46a-3a1e0eb4a8ab
907,train,verb,1,target_verb_att1_opp,cow,cows,reacts,react,The timid cow beneath the columns,The timid cows beneath the column,The timid cow beneath the columns reacts,The timid cow beneath the columns react,The timid cows beneath the column react,The timid cows beneath the column reacts,7,7,5148a052-0c49-4654-a6f0-acc3c09907fc,1c0956af-b5d7-4c45-a671-0b2428790e34,3e0d3b5e-2ca3-4c33-88fe-89dd13edadf8
908,train,verb,1,target_verb_att1_opp,kitten,kittens,is,are,The timid kitten beneath the chains,The timid kittens beneath the chain,The timid kitten beneath the chains is,The timid kitten beneath the chains are,The timid kittens beneath the chain are,The timid kittens beneath the chain is,7,7,7300e245-7525-4f2d-8f68-f48d686f505c,735b4078-fb86-4836-a86b-7502ec9aa64d,77f65e56-696c-4142-8582-db4d0ac9a9fa
909,train,verb,1,target_verb_att1_opp,shark,sharks,is,are,The calm shark outside the piles,The calm sharks outside the pile,The calm shark outside the piles is,The calm shark outside the piles are,The calm sharks outside the pile are,The calm sharks outside the pile is,7,7,b5915e84-763b-4e46-8326-cd00a3884dd7,a179f9ba-7411-4d92-8f18-1602031c2ee1,f5de9aa4-bd5c-436e-a206-a4f1428e9b23
910,train,verb,1,target_verb_att1_opp,pup,pups,settles,settle,The timid pup around the benches,The timid pups around the bench,The timid pup around the benches settles,The timid pup around the benches settle,The timid pups around the bench settle,The timid pups around the bench settles,7,7,b7fcf8c3-f1a9-4877-ba99-05355b55844b,ff60930e-93aa-46c5-bb44-c3ab8a43d4e1,30b69b77-c706-4b69-a975-7b1ebaab8c18
911,train,verb,1,target_verb_att1_opp,dog,dogs,has,have,The calm dog around the belts,The calm dogs around the belt,The calm dog around the belts has,The calm dog around the belts have,The calm dogs around the belt have,The calm dogs around the belt has,7,7,d5454fff-f14c-4d9c-a95a-b6016a00e6ce,70948a92-706d-4405-b24a-039f0626e8b4,08333912-dbe7-43ce-bc5d-2908694af2a8
912,train,verb,1,target_verb_att1_opp,dog,dogs,is,are,The fuzzy dog beneath the boxes,The fuzzy dogs beneath the box,The fuzzy dog beneath the boxes is,The fuzzy dog beneath the boxes are,The fuzzy dogs beneath the box are,The fuzzy dogs beneath the box is,7,7,76395b8d-b369-44f1-834f-0acaac5fe36d,b8b60991-233b-4960-b09a-c4b24fb0614e,ca6830f5-a7ee-4262-a4aa-810ff268d45c
913,train,verb,1,target_verb_att1_opp,kitten,kittens,smells,smell,The bright kitten behind the valves,The bright kittens behind the valve,The bright kitten behind the valves smells,The bright kitten behind the valves smell,The bright kittens behind the valve smell,The bright kittens behind the valve smells,7,7,b60808fe-4c92-4738-99d2-a863250f3766,560946cc-46e2-4756-8146-8efdcef07411,7fbde616-2c3e-4f9a-ab51-07f4e9ac192d
914,train,verb,1,target_verb_att1_opp,horse,horses,flies,fly,The bright horse around the tables,The bright horses around the table,The bright horse around the tables flies,The bright horse around the tables fly,The bright horses around the table fly,The bright horses around the table flies,7,7,d429287e-0877-43d4-9fcf-c1b5f4cf9ec2,b28780c4-a997-4727-ae5c-33eb8f185971,5cdad8f8-84dc-48f7-8519-037433713ef5
915,train,verb,1,target_verb_att1_opp,kit,kits,is,are,The fuzzy kit around the carts,The fuzzy kits around the cart,The fuzzy kit around the carts is,The fuzzy kit around the carts are,The fuzzy kits around the cart are,The fuzzy kits around the cart is,7,7,56e87d2e-420d-4b26-9de4-e51e687d3f33,967c0a0e-b14d-4685-b175-dd3819ca3236,fcb3ce74-9d62-4531-a9ed-83992ecfd1cb
916,train,verb,1,target_verb_att1_opp,shark,sharks,is,are,The sleepy shark behind the plants,The sleepy sharks behind the plant,The sleepy shark behind the plants is,The sleepy shark behind the plants are,The sleepy sharks behind the plant are,The sleepy sharks behind the plant is,7,7,412cbfdf-c71d-4d0d-a8d8-c29a0a664d84,87d470a1-f6a2-4740-8382-116b6efe8721,388e954b-4046-4472-9ff5-0e481b80ae70
917,train,verb,1,target_verb_att1_opp,horse,horses,snaps,snap,The small horse around the towers,The small horses around the tower,The small horse around the towers snaps,The small horse around the towers snap,The small horses around the tower snap,The small horses around the tower snaps,7,7,c9b2bdf5-dabc-4ff3-ba2a-06c200bce2a8,dd6bb8a6-8a48-424a-8927-b44a61db71c9,4fe629fb-52e0-4ae8-9c17-a9cb42893eb1
918,train,verb,1,target_verb_att1_opp,panda,pandas,is,are,The bright panda outside the benches,The bright pandas outside the bench,The bright panda outside the benches is,The bright panda outside the benches are,The bright pandas outside the bench are,The bright pandas outside the bench is,7,7,22329e93-f659-45b9-a1e5-0ab1328229f1,f6137532-f63e-4097-b332-c605db34e9fe,8473fd83-7d28-4ae2-b40f-661e7665cc47
919,train,verb,1,target_verb_att1_opp,pup,pups,is,are,The calm pup around the walls,The calm pups around the wall,The calm pup around the walls is,The calm pup around the walls are,The calm pups around the wall are,The calm pups around the wall is,7,7,ecf14b24-4778-4dc5-9211-5b52c767e2f3,03c25a60-7dbc-4007-910c-1b73abb4958b,c514bffc-86de-479b-ad14-8baf1ace1ad7
920,train,verb,1,target_verb_att1_opp,kitten,kittens,is,are,The calm kitten past the cables,The calm kittens past the cable,The calm kitten past the cables is,The calm kitten past the cables are,The calm kittens past the cable are,The calm kittens past the cable is,7,7,ba08609a-26c4-43a2-98e3-d2b9b5dc4bb5,9ab0d5be-87ca-4ff3-9e0f-2f00cf88184e,4da2df86-5775-4a39-a094-194e07d8ad1f
921,train,verb,1,target_verb_att1_opp,panda,pandas,is,are,The slender panda past the crates,The slender pandas past the crate,The slender panda past the crates is,The slender panda past the crates are,The slender pandas past the crate are,The slender pandas past the crate is,7,7,e0678266-55bf-4237-8f1e-58d2eb990769,506b9c78-9f73-4807-bd6d-98b983430e35,302cdde8-b960-4227-b926-f408742f99f1
922,train,verb,1,target_verb_att1_opp,rat,rats,is,are,The small rat around the walls,The small rats around the wall,The small rat around the walls is,The small rat around the walls are,The small rats around the wall are,The small rats around the wall is,7,7,31bff422-9774-4093-a697-8881e4bc1b60,36ebaea2-05bd-4023-8507-f95ffec3d60f,479558ee-3f44-4039-a57b-9fa0fe8ca320
923,train,verb,1,target_verb_att1_opp,monitor,monitors,hunts,hunt,The calm monitor past the crates,The calm monitors past the crate,The calm monitor past the crates hunts,The calm monitor past the crates hunt,The calm monitors past the crate hunt,The calm monitors past the crate hunts,7,7,29b47bbf-0279-4fc2-8abc-622bce27000c,dfaa3be2-ba65-4def-99c2-5fa06db188f0,6157b68a-c460-4e45-8f20-0bb5a52249f8
924,train,verb,1,target_verb_att1_opp,bat,bats,is,are,The nervous bat behind the windows,The nervous bats behind the window,The nervous bat behind the windows is,The nervous bat behind the windows are,The nervous bats behind the window are,The nervous bats behind the window is,7,7,25d94b1e-1bd8-4a8c-92a6-54578e2561a1,da6890ef-406a-4db7-ad7f-b8a91943920a,baf50adb-e48d-43b3-9f3e-dcf6d91f3731
925,train,verb,1,target_verb_att1_opp,dog,dogs,is,are,The nervous dog around the benches,The nervous dogs around the bench,The nervous dog around the benches is,The nervous dog around the benches are,The nervous dogs around the bench are,The nervous dogs around the bench is,7,7,0fa01934-8fac-4607-ac2e-644573528697,5e39c934-f0f4-41ed-9d04-497247773949,c709c650-ca67-4ce5-96f2-5beccefbac94
926,train,verb,1,target_verb_att1_opp,kit,kits,surfaces,surface,The slender kit past the logs,The slender kits past the log,The slender kit past the logs surfaces,The slender kit past the logs surface,The slender kits past the log surface,The slender kits past the log surfaces,7,7,54bc8b0a-45ed-4f5b-8522-1a0467514e8e,8c466313-b030-41a0-a61f-51b1b98c224b,5538f3da-f95f-421a-803e-20e9e7f4c37c
927,train,verb,1,target_verb_att1_opp,turtle,turtles,is,are,The timid turtle around the thresholds,The timid turtles around the threshold,The timid turtle around the thresholds is,The timid turtle around the thresholds are,The timid turtles around the threshold are,The timid turtles around the threshold is,7,7,b28f498a-17c5-48a8-abbf-ac901a1a2cb3,a4e819b8-13b5-4778-a17f-bc7adffad141,ffad44e9-65ca-494a-8071-3c47f1544abc
928,train,verb,1,target_verb_att1_opp,rat,rats,continues,continue,The slender rat around the walls,The slender rats around the wall,The slender rat around the walls continues,The slender rat around the walls continue,The slender rats around the wall continue,The slender rats around the wall continues,7,7,f22ce3d5-41ae-40e2-9f2c-72b72013dac7,3adea38a-3cd8-4094-9c7d-d793b31c9b8f,2db49b7a-11f4-4540-abe7-a20841a86bfe
929,train,verb,1,target_verb_att1_opp,dog,dogs,fans,fan,The timid dog past the screws,The timid dogs past the screw,The timid dog past the screws fans,The timid dog past the screws fan,The timid dogs past the screw fan,The timid dogs past the screw fans,7,7,181e1f4c-d120-44ea-9d40-9b4c377baf51,8cdf4714-7d99-4048-9b8c-b09460093a15,70ddb3eb-22b8-4340-a075-7ff7f341318a
930,train,verb,1,target_verb_att1_opp,whale,whales,explores,explore,The small whale outside the stools,The small whales outside the stool,The small whale outside the stools explores,The small whale outside the stools explore,The small whales outside the stool explore,The small whales outside the stool explores,7,7,2d1db10e-6352-48fd-a712-032248ebf611,190b7782-b0f3-434f-a6c1-36e3ff81580a,efcbec76-801c-4f20-a94b-d91621464c11
931,train,verb,1,target_verb_att1_opp,cow,cows,is,are,The sleepy cow outside the drums,The sleepy cows outside the drum,The sleepy cow outside the drums is,The sleepy cow outside the drums are,The sleepy cows outside the drum are,The sleepy cows outside the drum is,7,7,e1be1416-547b-428d-8505-626ee824e212,1b42f39b-a03d-406f-9dc8-e2699eda3b7c,a6dc7c76-eaf7-45c6-9b0b-86e8861d415f
932,train,verb,1,target_verb_att1_opp,dolphin,dolphins,is,are,The bright dolphin past the cables,The bright dolphins past the cable,The bright dolphin past the cables is,The bright dolphin past the cables are,The bright dolphins past the cable are,The bright dolphins past the cable is,7,7,d90510cf-d7f7-4136-b104-37ae49e55357,5735e577-1433-4c72-b14d-2698cfd18c02,f18240d3-e7f3-491f-bcf8-6f665ee5ab6b
933,train,verb,1,target_verb_att1_opp,doe,does,smells,smell,The calm doe beneath the boxes,The calm does beneath the box,The calm doe beneath the boxes smells,The calm doe beneath the boxes smell,The calm does beneath the box smell,The calm does beneath the box smells,7,7,8d029c76-58f0-4c48-bf9a-765063085534,7dbbfaad-72f3-4517-81e4-5862f91750ac,923a7928-6d0a-4ad5-a367-74f89b5cb857
934,train,verb,1,target_verb_att1_opp,rabbit,rabbits,joins,join,The nervous rabbit behind the windows,The nervous rabbits behind the window,The nervous rabbit behind the windows joins,The nervous rabbit behind the windows join,The nervous rabbits behind the window join,The nervous rabbits behind the window joins,7,7,dfd5be95-bd46-4c5f-80fe-bc5270f396a8,8b675a9f-dd4f-48ed-9787-15df6e5463ec,f7a3edee-bed4-439d-b6de-9db4745cd6f0
935,train,verb,1,target_verb_att1_opp,frog,frogs,advances,advance,The fuzzy frog behind the crates,The fuzzy frogs behind the crate,The fuzzy frog behind the crates advances,The fuzzy frog behind the crates advance,The fuzzy frogs behind the crate advance,The fuzzy frogs behind the crate advances,7,7,04513988-d245-4fb7-98d0-efe81d0201fd,681e96be-872d-4a51-8f56-feb50d4fc497,b74fa6b5-e66e-49bb-897b-fa9f42fe954d
936,train,verb,1,target_verb_att1_opp,rabbit,rabbits,cracks,crack,The sleepy rabbit behind the pans,The sleepy rabbits behind the pan,The sleepy rabbit behind the pans cracks,The sleepy rabbit behind the pans crack,The sleepy rabbits behind the pan crack,The sleepy rabbits behind the pan cracks,7,7,643d3b20-f401-4036-89fa-724c649c6c9b,2d79dace-4c2b-4086-a2c0-a78a0884facd,05c134f5-0d5a-41b7-ab30-a2fae274c28d
937,train,verb,1,target_verb_att1_opp,rabbit,rabbits,climbs,climb,The nervous rabbit around the thresholds,The nervous rabbits around the threshold,The nervous rabbit around the thresholds climbs,The nervous rabbit around the thresholds climb,The nervous rabbits around the threshold climb,The nervous rabbits around the threshold climbs,7,7,17883480-03a2-41d3-b8de-449b5e3a47df,46f02bdb-3723-4447-bff1-3cca4f6ac9ba,47b3e81b-3eae-4180-a043-d6742a2fb4e8
938,train,verb,1,target_verb_att1_opp,horse,horses,climbs,climb,The timid horse behind the rushes,The timid horses behind the rush,The timid horse behind the rushes climbs,The timid horse behind the rushes climb,The timid horses behind the rush climb,The timid horses behind the rush climbs,7,7,a36ecefa-b9f0-41fc-8644-914617163533,ff492e4c-1d17-47cb-8bf8-7b8065eb599f,2f70c187-55ae-45cc-a980-769ceddb7d5a
939,train,verb,1,target_verb_att1_opp,rabbit,rabbits,is,are,The bright rabbit behind the crates,The bright rabbits behind the crate,The bright rabbit behind the crates is,The bright rabbit behind the crates are,The bright rabbits behind the crate are,The bright rabbits behind the crate is,7,7,0335a240-7a65-4e01-90b3-a6103b1ce6a6,c14078c1-c896-43ec-91b6-a20cc19e86fd,d4c38da1-85f4-485f-bc87-82c924756887
940,train,verb,1,target_verb_att1_opp,horse,horses,is,are,The fuzzy horse past the vines,The fuzzy horses past the vine,The fuzzy horse past the vines is,The fuzzy horse past the vines are,The fuzzy horses past the vine are,The fuzzy horses past the vine is,7,7,80236f60-0801-460a-ad39-1b4a4a0385ca,f4653117-52b6-44c5-8f59-917a239b5a3c,05c5d054-5da2-4af4-9fbc-835032c00da9
941,train,verb,1,target_verb_att1_opp,cow,cows,is,are,The small cow behind the pans,The small cows behind the pan,The small cow behind the pans is,The small cow behind the pans are,The small cows behind the pan are,The small cows behind the pan is,7,7,6cfed0e0-5745-46f9-8c4d-d105266a2ee6,04302f0d-0c72-4609-be09-c32ffd0b89ee,c0605274-5289-4074-b7c1-78c20a3070b1
942,train,verb,1,target_verb_att1_opp,dog,dogs,is,are,The slender dog around the towers,The slender dogs around the tower,The slender dog around the towers is,The slender dog around the towers are,The slender dogs around the tower are,The slender dogs around the tower is,7,7,063dc606-2bef-4341-9d7c-749669b90bf6,8aa7c132-6ed8-44f3-91b8-b77eca58d63c,cccc4e82-5f0b-42be-82ae-22f21f592865
943,train,verb,1,target_verb_att1_opp,cow,cows,is,are,The fuzzy cow around the towers,The fuzzy cows around the tower,The fuzzy cow around the towers is,The fuzzy cow around the towers are,The fuzzy cows around the tower are,The fuzzy cows around the tower is,7,7,748ff09d-2b9b-445b-8cf7-1011b7be9d37,b4377b75-572a-4302-bc0b-dc4eb1d3c87e,de674eb6-2804-4ac6-831d-d1ec0f915202
944,train,verb,1,target_verb_att1_opp,chick,chicks,attacks,attack,The quiet chick past the barrels,The quiet chicks past the barrel,The quiet chick past the barrels attacks,The quiet chick past the barrels attack,The quiet chicks past the barrel attack,The quiet chicks past the barrel attacks,7,7,42b953a3-f6ed-406a-9f81-07af42ad0d9b,50a11789-d4e5-45c7-9036-ca078d64f522,1dbbd6e2-43fa-4917-8e6a-77f8cf87a6b9
945,train,verb,1,target_verb_att1_opp,kitten,kittens,has,have,The calm kitten beneath the boxes,The calm kittens beneath the box,The calm kitten beneath the boxes has,The calm kitten beneath the boxes have,The calm kittens beneath the box have,The calm kittens beneath the box has,7,7,d3075dfe-54d6-4f48-9a86-140d59b02b46,48e56450-f41d-4d2a-92ee-17174769db68,89e23579-a6ff-471c-bf1c-f9eb838c2208
946,train,verb,1,target_verb_att1_opp,pup,pups,is,are,The small pup past the cables,The small pups past the cable,The small pup past the cables is,The small pup past the cables are,The small pups past the cable are,The small pups past the cable is,7,7,df29ff99-9201-4476-acc0-996d3be36ac4,04e1297b-12dd-41d9-a660-e0633204774f,192b7cfd-fdb5-4d9b-9b8f-d2dbe0602617
947,train,verb,1,target_verb_att1_opp,bat,bats,is,are,The bright bat outside the benches,The bright bats outside the bench,The bright bat outside the benches is,The bright bat outside the benches are,The bright bats outside the bench are,The bright bats outside the bench is,7,7,6f0a8268-674d-4832-95e7-b7814ce7d7e2,fed9184f-a009-4c85-bd8c-4894a12d185f,849117c0-7895-4998-b0f8-99e103c0071a
948,train,verb,1,target_verb_att1_opp,panda,pandas,curls,curl,The small panda around the towers,The small pandas around the tower,The small panda around the towers curls,The small panda around the towers curl,The small pandas around the tower curl,The small pandas around the tower curls,7,7,a3f15f54-be47-45d6-a038-a94141321c6c,6c1ed8cf-7e31-4fd8-bc4b-f60829e5f054,056148d9-08ff-45d9-a803-703b95d13181
949,train,verb,1,target_verb_att1_opp,cow,cows,settles,settle,The small cow behind the houses,The small cows behind the house,The small cow behind the houses settles,The small cow behind the houses settle,The small cows behind the house settle,The small cows behind the house settles,7,7,553bcd12-6c45-4767-b582-5bda814306bf,6f306ad6-15ce-4e72-af2a-af63dc877c96,53bd7327-f328-4f20-9bc7-c3b4948dc55d
950,train,verb,1,target_verb_att1_opp,rat,rats,monitors,monitor,The bright rat around the carts,The bright rats around the cart,The bright rat around the carts monitors,The bright rat around the carts monitor,The bright rats around the cart monitor,The bright rats around the cart monitors,7,7,52b4b5bc-9888-4fa5-b9a9-d6560ab9aedc,d4901d96-081e-4871-94b0-0ac7c0bc0051,bac4d718-2b02-43b9-b9f7-9b8ac1314028
951,train,verb,1,target_verb_att1_opp,cow,cows,faces,face,The timid cow around the benches,The timid cows around the bench,The timid cow around the benches faces,The timid cow around the benches face,The timid cows around the bench face,The timid cows around the bench faces,7,7,25f7d57e-8815-493c-9e0f-32a2e736a300,cad60523-fb95-4bd4-86af-af046bd1ee55,5e11db69-f478-4fb2-9cc2-89f52aed4483
952,train,verb,1,target_verb_att1_opp,lion,lions,notices,notice,The small lion behind the houses,The small lions behind the house,The small lion behind the houses notices,The small lion behind the houses notice,The small lions behind the house notice,The small lions behind the house notices,7,7,62a86243-862c-4449-a342-bc4fe5773148,5d5c81e6-b408-4c0c-80ad-fffc156e8cfa,0c728a4c-95fe-43a1-a8e9-057f79199460
953,train,verb,1,target_verb_att1_opp,kit,kits,stores,store,The nervous kit behind the windows,The nervous kits behind the window,The nervous kit behind the windows stores,The nervous kit behind the windows store,The nervous kits behind the window store,The nervous kits behind the window stores,7,7,c09e3ad9-4871-42e2-bdf7-6b1315f543d5,5a8d1ab6-bdab-423f-933f-d629b7267b2c,31a12129-008a-4982-9f2d-d33517de0d19
954,train,verb,1,target_verb_att1_opp,panda,pandas,beats,beat,The timid panda outside the tables,The timid pandas outside the table,The timid panda outside the tables beats,The timid panda outside the tables beat,The timid pandas outside the table beat,The timid pandas outside the table beats,7,7,1482b9bc-416a-4936-9448-71b3f84ec5e9,69745ba2-d24b-4be4-b666-0ea9da7b663c,49201f7d-ba42-4db1-b092-2a76d4b8bc10
955,train,verb,1,target_verb_att1_opp,turtle,turtles,is,are,The slender turtle around the towers,The slender turtles around the tower,The slender turtle around the towers is,The slender turtle around the towers are,The slender turtles around the tower are,The slender turtles around the tower is,7,7,88c60d19-a21a-4fa9-abee-dbf300456a35,59741f7b-0d3c-452d-9931-de7fbeaf3eef,c003bc06-3342-4b4b-84f8-5527623f3f0e
956,train,verb,1,target_verb_att1_opp,kit,kits,monitors,monitor,The timid kit outside the tables,The timid kits outside the table,The timid kit outside the tables monitors,The timid kit outside the tables monitor,The timid kits outside the table monitor,The timid kits outside the table monitors,7,7,93ceea3c-f733-4d40-b7ef-88f11937d5a9,a38fd8b9-ad15-4976-88c4-4fe05a86041c,0fe3a136-b771-42b1-bbf5-d6656a38b6bc
957,train,verb,1,target_verb_att1_opp,shark,sharks,reacts,react,The quiet shark around the dams,The quiet sharks around the dam,The quiet shark around the dams reacts,The quiet shark around the dams react,The quiet sharks around the dam react,The quiet sharks around the dam reacts,7,7,98e55e33-be18-402a-afd0-16f9c6e7305d,c38c6d40-5265-46ea-8e28-b0255ed434b2,389cb601-6207-4a0f-aea7-9733e07102d6
958,train,verb,1,target_verb_att1_opp,cock,cocks,is,are,The small cock around the columns,The small cocks around the column,The small cock around the columns is,The small cock around the columns are,The small cocks around the column are,The small cocks around the column is,7,7,2e6b8dee-50b5-4cec-86f8-78df69ed3aa2,2452217c-411a-4146-b125-51e55d3cd77d,60a35da4-8cf8-4bf8-b650-295ee7067b54
959,train,verb,1,target_verb_att1_opp,rat,rats,is,are,The bright rat behind the pans,The bright rats behind the pan,The bright rat behind the pans is,The bright rat behind the pans are,The bright rats behind the pan are,The bright rats behind the pan is,7,7,d71dbff0-b789-4033-a17a-e1f05e2e0249,db5d8d1d-8200-4c92-9367-dc63df93c314,89c740cd-860f-44c1-a1d8-9fb1496cf4e2
960,train,verb,1,target_verb_att1_opp,lion,lions,is,are,The bright lion behind the pans,The bright lions behind the pan,The bright lion behind the pans is,The bright lion behind the pans are,The bright lions behind the pan are,The bright lions behind the pan is,7,7,b1697da5-7c15-4139-8ff9-c0b29bf28ae4,df67c693-68ac-4336-b1e6-bf0c9b331392,c113b96c-02e3-4d86-b2cb-7d4c08174b7b
961,train,verb,1,target_verb_att1_opp,doe,does,is,are,The sleepy doe past the nests,The sleepy does past the nest,The sleepy doe past the nests is,The sleepy doe past the nests are,The sleepy does past the nest are,The sleepy does past the nest is,7,7,7fa7860c-3c95-42d9-b5d2-fa6227074f8e,9b459ff2-717a-48bf-a9c4-07e909e2e1be,1f92fb57-040e-4762-84c4-b9b97bf54b6e
962,train,verb,1,target_verb_att1_opp,monitor,monitors,pins,pin,The nervous monitor past the cars,The nervous monitors past the car,The nervous monitor past the cars pins,The nervous monitor past the cars pin,The nervous monitors past the car pin,The nervous monitors past the car pins,7,7,8853133c-f30f-4e60-8b47-a9b47ad0efcf,75724142-531b-4666-a75d-2c6331ad1ea2,1878314f-5f70-4ac6-b9b6-8f4e59a32503
963,train,verb,1,target_verb_att1_opp,rabbit,rabbits,is,are,The bright rabbit beneath the trenches,The bright rabbits beneath the trench,The bright rabbit beneath the trenches is,The bright rabbit beneath the trenches are,The bright rabbits beneath the trench are,The bright rabbits beneath the trench is,7,7,0996eac8-525b-41f7-aece-90dda8687ad2,d3c40085-95dd-4078-b2c9-9e8978599431,2e415a63-55df-42cd-a816-52c4bcaed3c5
964,train,verb,1,target_verb_att1_opp,chick,chicks,is,are,The slender chick around the towers,The slender chicks around the tower,The slender chick around the towers is,The slender chick around the towers are,The slender chicks around the tower are,The slender chicks around the tower is,7,7,17ff1fd8-c8bf-4b23-ac64-536bc40fff77,d99d63c9-ccb0-431f-bbcc-535cd8888926,91430f28-00f2-4f8f-bc29-5fb3694507ec
965,train,verb,1,target_verb_att1_opp,cow,cows,avoids,avoid,The timid cow behind the rushes,The timid cows behind the rush,The timid cow behind the rushes avoids,The timid cow behind the rushes avoid,The timid cows behind the rush avoid,The timid cows behind the rush avoids,7,7,b6982fbc-fb02-452e-80ca-8593c018106e,df8cb1ca-dded-474b-b125-b39e022039ca,df7a0ab6-8000-4fc5-a793-c8dd5ee43025
966,train,verb,1,target_verb_att1_opp,monitor,monitors,is,are,The bright monitor around the tanks,The bright monitors around the tank,The bright monitor around the tanks is,The bright monitor around the tanks are,The bright monitors around the tank are,The bright monitors around the tank is,7,7,850a2028-d773-4bfb-91bd-102ea3308ace,d4314e83-16e7-4daf-a63f-380df41797f7,02326b80-d938-4e55-8c53-5448835adcef
967,train,verb,1,target_verb_att1_opp,chick,chicks,is,are,The timid chick beneath the chains,The timid chicks beneath the chain,The timid chick beneath the chains is,The timid chick beneath the chains are,The timid chicks beneath the chain are,The timid chicks beneath the chain is,7,7,52ceba67-3053-46be-bd03-32b0c122ba05,f38b78e1-2910-4669-9163-93732a6d35cc,fc07827b-25f4-4f26-b353-95df0acbc6bc
968,train,verb,1,target_verb_att1_opp,doe,does,is,are,The bright doe behind the bolts,The bright does behind the bolt,The bright doe behind the bolts is,The bright doe behind the bolts are,The bright does behind the bolt are,The bright does behind the bolt is,7,7,145ba073-ebd3-45cb-81be-1a8564a7aa95,ff10da2e-a991-4d0e-a163-9a971dcfec8e,3df0383c-21e5-4a57-a01f-d27031e73092
969,train,verb,1,target_verb_att1_opp,kitten,kittens,walks,walk,The small kitten behind the houses,The small kittens behind the house,The small kitten behind the houses walks,The small kitten behind the houses walk,The small kittens behind the house walk,The small kittens behind the house walks,7,7,776a76e3-8f0f-4b6a-9320-83ce181b35ef,149e8d7d-e2f0-474a-b463-99887e086022,2950f0a5-2ce3-4706-96d4-d8a42f929a74
970,train,verb,1,target_verb_att1_opp,monitor,monitors,is,are,The quiet monitor beneath the chains,The quiet monitors beneath the chain,The quiet monitor beneath the chains is,The quiet monitor beneath the chains are,The quiet monitors beneath the chain are,The quiet monitors beneath the chain is,7,7,1c6ac14f-7b28-49d6-97b9-ec3a6d4016a2,9eb63353-7c44-4538-83a2-da9a964ddc00,c6a0c839-bdbb-4797-9e15-ab82360c8d3c
971,train,verb,1,target_verb_att1_opp,rabbit,rabbits,pins,pin,The slender rabbit past the logs,The slender rabbits past the log,The slender rabbit past the logs pins,The slender rabbit past the logs pin,The slender rabbits past the log pin,The slender rabbits past the log pins,7,7,a10c2dc8-0b2e-4dc5-906d-f45277b9e331,e18d8d81-77d7-477f-b908-0d5071a44d09,3cba5868-e020-4780-8a60-560797709693
972,train,verb,1,target_verb_att1_opp,chick,chicks,is,are,The calm chick behind the pans,The calm chicks behind the pan,The calm chick behind the pans is,The calm chick behind the pans are,The calm chicks behind the pan are,The calm chicks behind the pan is,7,7,9142da10-bdcc-485f-aed6-5d2411eefec1,92f04b8f-0e58-4136-96ef-42b317632951,f6f1c1c8-c443-4891-9c05-f3ad8b07f495
