idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
494,test,verb,0,target_verb_att0_opp,[wug],[wugs],poses,pose,The strange [wug],The strange [wugs],The strange [wug] poses,The strange [wug] pose,The strange [wugs] pose,The strange [wugs] poses,7,7,1ca82e06-1b15-4dd5-8bea-0d3ab188b38c,5723f356-c1eb-4fbd-a9b2-8f7b3435c6ff,45e66348-a72a-4a3d-a497-854dbbb6e4e2
495,test,verb,0,target_verb_att0_opp,[wug],[wugs],catches,catch,The clumsy [wug],The clumsy [wugs],The clumsy [wug] catches,The clumsy [wug] catch,The clumsy [wugs] catch,The clumsy [wugs] catches,7,7,6e6f232f-0ebe-492c-9e19-09d6dd306914,f576cf06-0a31-4ffd-986f-53baa4cb808e,100f5447-b58b-4f77-aadd-d9ab50d1973e
496,test,verb,0,target_verb_att0_opp,[wug],[wugs],catches,catch,The shy [wug],The shy [wugs],The shy [wug] catches,The shy [wug] catch,The shy [wugs] catch,The shy [wugs] catches,7,7,3d344bf5-4cdf-4d82-80fd-42960d9883b0,517e95ea-fc96-4f8b-9e5e-6858db93d6bb,c14cfc14-a2a8-4d42-8f11-bca149424db0
497,test,verb,0,target_verb_att0_opp,[wug],[wugs],spills,spill,The curious [wug],The curious [wugs],The curious [wug] spills,The curious [wug] spill,The curious [wugs] spill,The curious [wugs] spills,7,7,6f6b6e22-9cb7-436b-b4b5-816e1130535e,cd8c3285-458f-4fd1-8878-52fd1a699d4a,43a7fe24-a23a-4b43-93c1-5f6ae731e64d
498,test,verb,0,target_verb_att0_opp,[wug],[wugs],marches,march,The lively [wug],The lively [wugs],The lively [wug] marches,The lively [wug] march,The lively [wugs] march,The lively [wugs] marches,7,7,34804276-7d25-4d98-9144-1417be853f02,fe563676-94aa-43e5-9341-6451db62c1ca,afe73c40-29ad-4245-89aa-29c6f5af5522
499,test,verb,0,target_verb_att0_opp,[wug],[wugs],builds,build,The gentle [wug],The gentle [wugs],The gentle [wug] builds,The gentle [wug] build,The gentle [wugs] build,The gentle [wugs] builds,7,7,3c28eb94-5afa-4b97-ac7f-d387062d05ae,69dd0f27-5101-4aba-922a-58ed876f50ee,b7810ab1-1c7d-4956-8456-f054cd7c92d4
500,test,verb,0,target_verb_att0_opp,[wug],[wugs],lands,land,The strange [wug],The strange [wugs],The strange [wug] lands,The strange [wug] land,The strange [wugs] land,The strange [wugs] lands,7,7,e5bb586a-8a05-4c5c-a909-a9a4cde203dd,c6c0ba0f-92b1-4609-adb7-2d1bcaafe849,fdfae4b0-331f-4691-b259-86ebfa236b76
501,test,verb,0,target_verb_att0_opp,[wug],[wugs],spreads,spread,The clever [wug],The clever [wugs],The clever [wug] spreads,The clever [wug] spread,The clever [wugs] spread,The clever [wugs] spreads,7,7,31650b79-6a32-43d7-bb61-99a2a70c684a,c9c199de-f0c9-47d0-8e37-adc2238082c9,fdb4e79c-d411-49dd-afb9-37c4bb71bb99
502,test,verb,0,target_verb_att0_opp,[wug],[wugs],threatens,threaten,The bold [wug],The bold [wugs],The bold [wug] threatens,The bold [wug] threaten,The bold [wugs] threaten,The bold [wugs] threatens,7,7,54a22d0f-d5c2-47fb-a104-f3bd4f5b4967,7fb88deb-503e-4f2a-8d0a-88b570dfa683,ef71adc6-be6a-4fdb-aeb6-31e9939d3ebf
503,test,verb,0,target_verb_att0_opp,[wug],[wugs],answers,answer,The clever [wug],The clever [wugs],The clever [wug] answers,The clever [wug] answer,The clever [wugs] answer,The clever [wugs] answers,7,7,2578acc5-e638-4360-afaa-c863a978ff1e,944451ce-2c07-462a-bb40-f60150d264eb,6e44b765-30ca-4ead-b4b9-6e7c541f62da
504,test,verb,0,target_verb_att0_opp,[wug],[wugs],was,were,The restless [wug],The restless [wugs],The restless [wug] was,The restless [wug] were,The restless [wugs] were,The restless [wugs] was,7,7,685a4928-d568-42db-af8a-d51ef27d004d,ad3f06b2-0cf0-4b65-baca-1f15738dbac9,81d64ecd-7f06-47cd-abfd-3196a4287ac2
505,test,verb,0,target_verb_att0_opp,[wug],[wugs],tastes,taste,The strange [wug],The strange [wugs],The strange [wug] tastes,The strange [wug] taste,The strange [wugs] taste,The strange [wugs] tastes,7,7,050c1993-7f4f-4b85-b051-3295c0c26d6c,8799d0dc-82aa-4920-8c67-0170b36e2a65,4cb12dfd-7d81-4236-84d4-58173d835824
506,test,verb,0,target_verb_att0_opp,[wug],[wugs],stacks,stack,The shy [wug],The shy [wugs],The shy [wug] stacks,The shy [wug] stack,The shy [wugs] stack,The shy [wugs] stacks,7,7,dad0ab77-8519-478a-9e20-a3ca6098d198,c3230e55-de13-4a04-859d-b5cd89cad0bd,eba284d1-dfbb-4b0f-ba95-bf15d28899d0
507,test,verb,0,target_verb_att0_opp,[wug],[wugs],meets,meet,The clever [wug],The clever [wugs],The clever [wug] meets,The clever [wug] meet,The clever [wugs] meet,The clever [wugs] meets,7,7,d277fb91-df66-4110-a45d-d8c73a786506,b8fdc125-39a7-4605-aec6-244a67e2f6d1,f12dc5fc-eec9-4a8b-8a20-ac4eecf07239
508,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The sturdy [wug],The sturdy [wugs],The sturdy [wug] hops,The sturdy [wug] hop,The sturdy [wugs] hop,The sturdy [wugs] hops,7,7,bbc1cd20-4ba8-441c-98fd-ac57a19f23d3,d70f2be1-397e-4234-a73a-5dae8a59c888,d8c0a5d4-a72c-464f-8d92-aac9989f7da8
509,test,verb,0,target_verb_att0_opp,[wug],[wugs],lands,land,The shy [wug],The shy [wugs],The shy [wug] lands,The shy [wug] land,The shy [wugs] land,The shy [wugs] lands,7,7,a931d8b2-3ad4-4fb0-b670-85222c5f3747,48266068-0388-40a0-b9a4-a787b67bd188,4fd997ef-53c9-4c76-b95b-3f0a589a3831
510,test,verb,0,target_verb_att0_opp,[wug],[wugs],communicates,communicate,The clumsy [wug],The clumsy [wugs],The clumsy [wug] communicates,The clumsy [wug] communicate,The clumsy [wugs] communicate,The clumsy [wugs] communicates,7,7,c265e64f-710e-465f-a5ca-9cc409b83aee,cac9a0ed-48b1-47bb-abe1-ea3702c44c15,1733d9b0-ef98-4b5e-aa74-98633d6c7872
511,test,verb,0,target_verb_att0_opp,[wug],[wugs],presses,press,The clumsy [wug],The clumsy [wugs],The clumsy [wug] presses,The clumsy [wug] press,The clumsy [wugs] press,The clumsy [wugs] presses,7,7,6f49836b-0eca-4284-863d-91bb2e0d74de,6c87673e-3114-4f50-ba4c-e03dc83ec835,524b8e8c-a1a1-4630-8857-2a029610ee2d
512,test,verb,0,target_verb_att0_opp,[wug],[wugs],scratches,scratch,The sturdy [wug],The sturdy [wugs],The sturdy [wug] scratches,The sturdy [wug] scratch,The sturdy [wugs] scratch,The sturdy [wugs] scratches,7,7,e06e0236-5840-4f2e-a24c-ed8756ae28f1,f1545315-3251-4e68-93ce-4a5b0f39eb3c,11cc8a5e-2e4f-41b8-bf67-3315484cee19
513,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The clumsy [wug],The clumsy [wugs],The clumsy [wug] raises,The clumsy [wug] raise,The clumsy [wugs] raise,The clumsy [wugs] raises,7,7,e3d077e2-abcf-404e-b88a-d2185d841e5c,965cfa0f-ec45-4036-b9bd-a1785a860877,86e083bd-f182-4f63-b2b3-0b7d75309a0d
514,test,verb,0,target_verb_att0_opp,[wug],[wugs],shares,share,The sturdy [wug],The sturdy [wugs],The sturdy [wug] shares,The sturdy [wug] share,The sturdy [wugs] share,The sturdy [wugs] shares,7,7,566d1a07-f647-4fd9-b6be-d8be6a3823f0,c91303f0-f7b4-4545-a417-872a47f69e56,cbe469e8-9e45-4e00-a697-553a236b29e0
515,test,verb,0,target_verb_att0_opp,[wug],[wugs],calls,call,The tiny [wug],The tiny [wugs],The tiny [wug] calls,The tiny [wug] call,The tiny [wugs] call,The tiny [wugs] calls,7,7,010f06db-5ac8-4797-b5f1-baaace78fa0c,99ea3bf8-9055-4a64-bd37-6d199c031c46,64537d19-1e5a-4bb5-adeb-fdb285c89c14
516,test,verb,0,target_verb_att0_opp,[wug],[wugs],sleeps,sleep,The tiny [wug],The tiny [wugs],The tiny [wug] sleeps,The tiny [wug] sleep,The tiny [wugs] sleep,The tiny [wugs] sleeps,7,7,fb3bdb7b-fce8-4813-afea-a81e4f1eddce,ff820505-2ab5-4d8a-aff6-a0315126de1d,30cede47-6f0c-4a61-b6e4-bd6bb97e4820
517,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The clever [wug],The clever [wugs],The clever [wug] hops,The clever [wug] hop,The clever [wugs] hop,The clever [wugs] hops,7,7,1afbe6fd-10b2-4a22-b18b-9e5d41601407,9a93ca8f-1769-4568-bded-e208b497e4f1,d966fefd-4000-4259-a9c3-80076f19339f
518,test,verb,0,target_verb_att0_opp,[wug],[wugs],sings,sing,The graceful [wug],The graceful [wugs],The graceful [wug] sings,The graceful [wug] sing,The graceful [wugs] sing,The graceful [wugs] sings,7,7,7259326c-467f-4373-b08a-d7baf17d43d8,9f6142af-53b2-4603-a20b-b60456e0d4d6,d56aa6da-035f-4ee8-b590-e42d337a1ff1
519,test,verb,0,target_verb_att0_opp,[wug],[wugs],brushes,brush,The sturdy [wug],The sturdy [wugs],The sturdy [wug] brushes,The sturdy [wug] brush,The sturdy [wugs] brush,The sturdy [wugs] brushes,7,7,6fe84cf0-dc2d-48ec-9dec-3aeea806231c,e5f44952-1705-4729-a789-23ad4552155a,379fdf68-5376-48c8-a7d3-7a348a0b2a5c
520,test,verb,0,target_verb_att0_opp,[wug],[wugs],knows,know,The curious [wug],The curious [wugs],The curious [wug] knows,The curious [wug] know,The curious [wugs] know,The curious [wugs] knows,7,7,5d27547b-4110-42a5-8d3c-381be374058e,4a2898dd-65e7-40fa-afe4-9c4b01dd0ca5,b9bedb3d-441b-44ad-b969-9e5ef7ebae13
521,test,verb,0,target_verb_att0_opp,[wug],[wugs],stares,stare,The gentle [wug],The gentle [wugs],The gentle [wug] stares,The gentle [wug] stare,The gentle [wugs] stare,The gentle [wugs] stares,7,7,39a2c2d6-1fa2-4295-b8ab-2313a32fb6f8,6f3ccb05-e13f-4ebb-b23d-d33abe317224,8eb94f1d-7e4e-4e1a-83ca-1b31102ec40f
522,test,verb,0,target_verb_att0_opp,[wug],[wugs],leads,lead,The spotted [wug],The spotted [wugs],The spotted [wug] leads,The spotted [wug] lead,The spotted [wugs] lead,The spotted [wugs] leads,7,7,6cc26ca7-02e2-4be4-b3a5-246b3ea6d9cd,7d9f7afe-5816-4473-a0ee-4c94ce456b3c,ff4ceb91-b739-4607-b852-94993227224f
523,test,verb,0,target_verb_att0_opp,[wug],[wugs],leads,lead,The restless [wug],The restless [wugs],The restless [wug] leads,The restless [wug] lead,The restless [wugs] lead,The restless [wugs] leads,7,7,c7aab44c-7a1e-469e-b015-4c96c36fb891,97519383-7e6f-4434-abc5-a7c99d265a62,5eedeb27-e5a7-4c9b-9cb7-e0c788f31e66
524,test,verb,0,target_verb_att0_opp,[wug],[wugs],spills,spill,The round [wug],The round [wugs],The round [wug] spills,The round [wug] spill,The round [wugs] spill,The round [wugs] spills,7,7,59cda5e5-3244-44cd-9b43-f1149032887b,3ed39d7c-5c00-44c5-ab22-672ea00b7970,10064930-cd8e-4e2e-8947-dd1f830611ac
525,test,verb,0,target_verb_att0_opp,[wug],[wugs],slips,slip,The graceful [wug],The graceful [wugs],The graceful [wug] slips,The graceful [wug] slip,The graceful [wugs] slip,The graceful [wugs] slips,7,7,275c03bb-548a-46ea-9025-a5b468280922,7ab2902c-03d3-450a-a954-571ef60ef2b5,56a815b6-603c-481a-a201-ab441bed97ce
526,test,verb,0,target_verb_att0_opp,[wug],[wugs],scales,scale,The spotted [wug],The spotted [wugs],The spotted [wug] scales,The spotted [wug] scale,The spotted [wugs] scale,The spotted [wugs] scales,7,7,15d5db8f-853d-434e-bd7d-c0f9a51f11d4,cf6a23c3-c0f3-4bc0-9b0e-cf7aae33b433,6e389d87-2f7b-4159-aa7e-4ed960d4f2e1
527,test,verb,0,target_verb_att0_opp,[wug],[wugs],drops,drop,The gentle [wug],The gentle [wugs],The gentle [wug] drops,The gentle [wug] drop,The gentle [wugs] drop,The gentle [wugs] drops,7,7,a015d708-d4bf-4877-90e5-19d2d315fa01,9c854aa5-1c5c-48c0-8fbd-09ef55afcfee,c36e80e3-e4f8-4bff-adcb-3dbbb88abe95
528,test,verb,0,target_verb_att0_opp,[wug],[wugs],signals,signal,The clever [wug],The clever [wugs],The clever [wug] signals,The clever [wug] signal,The clever [wugs] signal,The clever [wugs] signals,7,7,7aa29e9c-f5c5-42e1-a8f2-692653fd8212,3fb3516e-6581-4bbc-971d-97e9ec02f124,d913b97c-a88d-4b7f-9b41-97b05c771fb2
529,test,verb,0,target_verb_att0_opp,[wug],[wugs],spreads,spread,The curious [wug],The curious [wugs],The curious [wug] spreads,The curious [wug] spread,The curious [wugs] spread,The curious [wugs] spreads,7,7,37648fe0-41fd-4b8f-846a-49b1fb753fcf,ae6d026e-1251-40b7-9d6d-183e85b6fe25,afe7b9a1-3f13-411c-9d76-1dbd9f932644
530,test,verb,0,target_verb_att0_opp,[wug],[wugs],tears,tear,The fierce [wug],The fierce [wugs],The fierce [wug] tears,The fierce [wug] tear,The fierce [wugs] tear,The fierce [wugs] tears,7,7,182a532c-31b4-416f-b82b-6c8bc39cbe1c,7502864a-fd2e-48e4-8c54-3e0e0805867a,a70e9312-ff3c-4bf2-b194-d5798d228824
531,test,verb,0,target_verb_att0_opp,[wug],[wugs],drops,drop,The clumsy [wug],The clumsy [wugs],The clumsy [wug] drops,The clumsy [wug] drop,The clumsy [wugs] drop,The clumsy [wugs] drops,7,7,709dc3da-47f9-471a-a339-76cede90bf9c,b0426c89-728e-4300-a445-653b8f198d2b,ae66a3dd-4c65-4d14-91e2-229b65aa4bbd
532,test,verb,0,target_verb_att0_opp,[wug],[wugs],spins,spin,The tiny [wug],The tiny [wugs],The tiny [wug] spins,The tiny [wug] spin,The tiny [wugs] spin,The tiny [wugs] spins,7,7,899ea4da-0b10-46e0-88a3-1e6c9beef545,4878cdc7-cb80-4008-9aab-96279efc094e,c779c41e-9133-404e-a336-5451da69d321
533,test,verb,0,target_verb_att0_opp,[wug],[wugs],stares,stare,The lively [wug],The lively [wugs],The lively [wug] stares,The lively [wug] stare,The lively [wugs] stare,The lively [wugs] stares,7,7,7027801b-4cee-4056-94a9-6057d0812c67,53ba28c5-ae8d-46b1-b7b9-069158f16c81,918b9e0a-07c4-4108-bdcb-bfd2f0aadf26
534,test,verb,0,target_verb_att0_opp,[wug],[wugs],searches,search,The sturdy [wug],The sturdy [wugs],The sturdy [wug] searches,The sturdy [wug] search,The sturdy [wugs] search,The sturdy [wugs] searches,7,7,22338ad7-a854-4314-81e2-817b72ac67a3,d25629e7-49b2-45b1-9733-fddbc8bc925c,dfa19d33-6d38-4840-9f3e-19e838b4350a
535,test,verb,0,target_verb_att0_opp,[wug],[wugs],meets,meet,The fierce [wug],The fierce [wugs],The fierce [wug] meets,The fierce [wug] meet,The fierce [wugs] meet,The fierce [wugs] meets,7,7,317bcf1e-2e80-4694-99c0-902fd8b25afa,12a97a45-4f96-40df-94bf-fc6e0ff54e5f,078aab17-9b1b-4691-b81b-4f025d2cb5aa
536,test,verb,0,target_verb_att0_opp,[wug],[wugs],spins,spin,The gentle [wug],The gentle [wugs],The gentle [wug] spins,The gentle [wug] spin,The gentle [wugs] spin,The gentle [wugs] spins,7,7,f2f09e53-59e1-41b2-87f8-a20f94fd49dd,6c2279ef-0f2f-432e-94a9-bc85331883f7,8d94e46e-45a3-41cf-a9d7-499f1f7cf28f
537,test,verb,0,target_verb_att0_opp,[wug],[wugs],sings,sing,The wary [wug],The wary [wugs],The wary [wug] sings,The wary [wug] sing,The wary [wugs] sing,The wary [wugs] sings,7,7,72f30758-0946-4752-ab5a-539fdd40f1b5,ec211b48-0dcd-4f71-8377-1ce2fe72766d,6259d117-b36d-472a-a920-c07c91d35af1
538,test,verb,0,target_verb_att0_opp,[wug],[wugs],defends,defend,The strange [wug],The strange [wugs],The strange [wug] defends,The strange [wug] defend,The strange [wugs] defend,The strange [wugs] defends,7,7,857b8729-fb0f-4199-b00d-59c080e3bd20,401f74b7-10ba-49fd-a601-1fbbc1eff6d4,4112ba1a-ff9a-4440-bb27-cd798877f42b
539,test,verb,0,target_verb_att0_opp,[wug],[wugs],sings,sing,The strange [wug],The strange [wugs],The strange [wug] sings,The strange [wug] sing,The strange [wugs] sing,The strange [wugs] sings,7,7,15fc659e-610b-461c-becf-e62ba1e7e75e,64967892-c015-43ba-a837-2e28c2c7115d,bd3fba07-9765-4ce5-8b1c-2f9e552f3d91
540,test,verb,0,target_verb_att0_opp,[wug],[wugs],waits,wait,The strange [wug],The strange [wugs],The strange [wug] waits,The strange [wug] wait,The strange [wugs] wait,The strange [wugs] waits,7,7,2df89e30-d492-48b9-9e67-31cf5dcc9386,04490698-5e4d-4c75-a4d6-a730fc68cad7,adb7e9d6-dd45-46de-b694-b74dcfe4e633
541,test,verb,0,target_verb_att0_opp,[wug],[wugs],lies,lie,The shy [wug],The shy [wugs],The shy [wug] lies,The shy [wug] lie,The shy [wugs] lie,The shy [wugs] lies,7,7,df871eee-ca16-4896-bfe3-8e6ccc773a64,5f379d11-4ce9-4cc2-bfad-c196b25aa5f6,f1e9162e-10e2-4d80-82e6-945c49c61b9b
542,test,verb,0,target_verb_att0_opp,[wug],[wugs],scratches,scratch,The fierce [wug],The fierce [wugs],The fierce [wug] scratches,The fierce [wug] scratch,The fierce [wugs] scratch,The fierce [wugs] scratches,7,7,a98bd521-6e69-41e6-b251-15cf4b2f1058,a0c6434d-b12d-44dd-8aa2-57f8ac5f6656,d7edf012-a683-4347-95a7-a016d316d878
543,test,verb,0,target_verb_att0_opp,[wug],[wugs],holds,hold,The round [wug],The round [wugs],The round [wug] holds,The round [wug] hold,The round [wugs] hold,The round [wugs] holds,7,7,57874e62-f53e-4843-aed8-e337133d84fb,71e3c70c-b5c8-4ec9-b96b-5ee84c782e7c,6bbd04d5-80ec-4b1a-b668-239abf8d8c98
544,test,verb,0,target_verb_att0_opp,[wug],[wugs],lies,lie,The clumsy [wug],The clumsy [wugs],The clumsy [wug] lies,The clumsy [wug] lie,The clumsy [wugs] lie,The clumsy [wugs] lies,7,7,e2144494-109d-44c9-b3e0-43ee8498b2be,03530b6d-00a3-4a64-9582-fb5b31b3de58,c167296f-ee14-4770-9bc4-01260839b7a6
545,test,verb,0,target_verb_att0_opp,[wug],[wugs],sleeps,sleep,The restless [wug],The restless [wugs],The restless [wug] sleeps,The restless [wug] sleep,The restless [wugs] sleep,The restless [wugs] sleeps,7,7,4928bb58-b45b-4e7f-9a3a-ebdfe9fff565,dfdfa083-ffc4-49d7-9ab9-8c2f7ac1ec1e,16986f8c-ae02-4c60-b9f1-fcbe66af2d35
546,test,verb,0,target_verb_att0_opp,[wug],[wugs],seems,seem,The gentle [wug],The gentle [wugs],The gentle [wug] seems,The gentle [wug] seem,The gentle [wugs] seem,The gentle [wugs] seems,7,7,8b88d67b-a112-4dcd-8926-9a96b3e8d7e5,b1dc1218-ea0b-493f-84d3-c2a092d9e80a,92a8ed98-8b1f-443e-9f6f-5d456267dba8
547,test,verb,0,target_verb_att0_opp,[wug],[wugs],is,are,The clumsy [wug],The clumsy [wugs],The clumsy [wug] is,The clumsy [wug] are,The clumsy [wugs] are,The clumsy [wugs] is,7,7,b89f783d-ac79-4e7c-968b-b409f1ff2ea3,7d58213f-2ecf-44aa-90ca-d6bc555a831f,1f2317df-1cde-49b8-ae6a-fb076409a381
548,test,verb,0,target_verb_att0_opp,[wug],[wugs],dashes,dash,The spotted [wug],The spotted [wugs],The spotted [wug] dashes,The spotted [wug] dash,The spotted [wugs] dash,The spotted [wugs] dashes,7,7,6841056d-7f7f-45b7-aea0-2e5894ceb273,80878047-d6de-4ed7-b303-a2cb035d657a,c7bd5898-a369-4af8-a01b-6b5f9a1c41c0
549,test,verb,0,target_verb_att0_opp,[wug],[wugs],defends,defend,The sturdy [wug],The sturdy [wugs],The sturdy [wug] defends,The sturdy [wug] defend,The sturdy [wugs] defend,The sturdy [wugs] defends,7,7,97bc9ee3-4823-4c2b-abeb-62c6af25b10d,255f1f94-07ba-445b-8068-390c45fe64f7,1507dc8f-d073-4c9d-baea-d22465ab02b4
550,test,verb,0,target_verb_att0_opp,[wug],[wugs],catches,catch,The graceful [wug],The graceful [wugs],The graceful [wug] catches,The graceful [wug] catch,The graceful [wugs] catch,The graceful [wugs] catches,7,7,814e7cd0-cb1a-4266-a362-2f4fe0714ed4,3ed765db-dea6-4acf-8dd5-b038555ec08e,6964419e-e066-4ce9-8c71-cc41b86ddc40
551,test,verb,0,target_verb_att0_opp,[wug],[wugs],investigates,investigate,The curious [wug],The curious [wugs],The curious [wug] investigates,The curious [wug] investigate,The curious [wugs] investigate,The curious [wugs] investigates,7,7,e8be7177-9a4a-4cc4-a0d7-1a4cc83f375e,e529b912-2214-47eb-8cd1-a61498bf1fc1,9d4cf6ff-4c2f-428c-bab8-a5b47f4f337d
552,test,verb,0,target_verb_att0_opp,[wug],[wugs],enters,enter,The tiny [wug],The tiny [wugs],The tiny [wug] enters,The tiny [wug] enter,The tiny [wugs] enter,The tiny [wugs] enters,7,7,930ea52f-c6ec-40ac-8299-ecc87c778cdc,f95953e8-91b9-4ee4-9fd6-0f6703bb5a37,13c5d549-4f0b-4005-85a3-3125decb705f
553,test,verb,0,target_verb_att0_opp,[wug],[wugs],watches,watch,The graceful [wug],The graceful [wugs],The graceful [wug] watches,The graceful [wug] watch,The graceful [wugs] watch,The graceful [wugs] watches,7,7,fed8de32-a659-40bd-a7a8-947628f1558d,66e197e6-cd78-484e-8a88-b923a83a0223,52602f9e-6ae8-4f63-bd01-865cc4867e5a
554,test,verb,0,target_verb_att0_opp,[wug],[wugs],presses,press,The clever [wug],The clever [wugs],The clever [wug] presses,The clever [wug] press,The clever [wugs] press,The clever [wugs] presses,7,7,5d33078f-ac03-415d-a7d8-21a01e1bb697,e8bd94a4-2548-4f44-9c13-50389d75a02d,dba47f7e-8090-4c88-8cc6-0e3dae042064
555,test,verb,0,target_verb_att0_opp,[wug],[wugs],threads,thread,The wary [wug],The wary [wugs],The wary [wug] threads,The wary [wug] thread,The wary [wugs] thread,The wary [wugs] threads,7,7,8c157cc0-6207-4bb1-ac78-b083e9d6b67b,42dfbcab-b465-4180-bef2-95ab4b1c0b69,77bbf0e3-ef04-46cd-be40-caf4376647f7
556,test,verb,0,target_verb_att0_opp,[wug],[wugs],knows,know,The shy [wug],The shy [wugs],The shy [wug] knows,The shy [wug] know,The shy [wugs] know,The shy [wugs] knows,7,7,66715933-fe49-4ecd-b3b3-4ab404b59ee1,a11ba05e-eb21-4569-93a7-912862db1ae4,c7254b14-25fe-45f8-8907-7e0d64792d6e
557,test,verb,0,target_verb_att0_opp,[wug],[wugs],returns,return,The round [wug],The round [wugs],The round [wug] returns,The round [wug] return,The round [wugs] return,The round [wugs] returns,7,7,6ae3b010-1d6b-4449-91bd-d0f960f2e385,143a8ab2-c531-4f1b-8c29-ffc69f259188,86b24b64-0f77-419d-a084-df3f5bdc372a
558,test,verb,0,target_verb_att0_opp,[wug],[wugs],brushes,brush,The gentle [wug],The gentle [wugs],The gentle [wug] brushes,The gentle [wug] brush,The gentle [wugs] brush,The gentle [wugs] brushes,7,7,08abf269-2602-4e53-a0f2-9c11b128f432,755023e2-9ca4-4320-b698-bfe481e39be1,1f98a36d-bc1a-409b-abc4-916606fa523d
559,test,verb,0,target_verb_att0_opp,[wug],[wugs],is,are,The sturdy [wug],The sturdy [wugs],The sturdy [wug] is,The sturdy [wug] are,The sturdy [wugs] are,The sturdy [wugs] is,7,7,a1827d48-9296-4ae1-aa25-911729ef46f7,e85bf909-e26d-48e1-af79-35a5cac08d1f,6b622f97-1c2b-47e1-9b51-3c103399b024
560,test,verb,0,target_verb_att0_opp,[wug],[wugs],lands,land,The tiny [wug],The tiny [wugs],The tiny [wug] lands,The tiny [wug] land,The tiny [wugs] land,The tiny [wugs] lands,7,7,319a0072-8fd9-4c1e-8a91-4baf504249ed,000b3d8e-5585-4819-91cb-031682bb1201,aaad2ad8-55c3-4914-91c5-fca9b28e83d6
561,test,verb,0,target_verb_att0_opp,[wug],[wugs],hides,hide,The lively [wug],The lively [wugs],The lively [wug] hides,The lively [wug] hide,The lively [wugs] hide,The lively [wugs] hides,7,7,fd8c6db2-301f-41f2-ae34-31cf41e141d4,4bfcf184-35cb-4ff7-b25d-02ad0a4e0d19,8e5fd619-a967-493a-8352-6e0b746d8329
562,test,verb,0,target_verb_att0_opp,[wug],[wugs],drops,drop,The restless [wug],The restless [wugs],The restless [wug] drops,The restless [wug] drop,The restless [wugs] drop,The restless [wugs] drops,7,7,2153c5fc-4589-42d1-839f-ac3dbedcccd4,6b67c15b-95a6-4a52-a281-3968a9d1d0cc,f5c316f6-2f17-412d-a2f7-a3dad133f819
563,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The strange [wug],The strange [wugs],The strange [wug] taps,The strange [wug] tap,The strange [wugs] tap,The strange [wugs] taps,7,7,b1ff68e3-f5f3-4d65-9636-ac057ed2021f,ba9a92f0-ad45-4745-b813-6d0114b07ba8,5901aac2-30b5-4a72-98bb-c9de9a502f3c
564,test,verb,0,target_verb_att0_opp,[wug],[wugs],spins,spin,The sturdy [wug],The sturdy [wugs],The sturdy [wug] spins,The sturdy [wug] spin,The sturdy [wugs] spin,The sturdy [wugs] spins,7,7,55ded75f-cfc5-42f0-876c-c3a8fb52cf87,e5c9dd27-f46e-43c7-abbf-14271d15ffe0,6fff6bec-5ae3-4d45-af73-153e7861e2c8
565,test,verb,0,target_verb_att0_opp,[wug],[wugs],tears,tear,The graceful [wug],The graceful [wugs],The graceful [wug] tears,The graceful [wug] tear,The graceful [wugs] tear,The graceful [wugs] tears,7,7,fe118791-e80f-43d1-b8cc-64ac4bb29c9b,c386fb39-906b-45b4-b808-ed217d17c79b,8f2dac21-c7f9-4c6e-b44a-8781442a773e
566,test,verb,0,target_verb_att0_opp,[wug],[wugs],defends,defend,The fierce [wug],The fierce [wugs],The fierce [wug] defends,The fierce [wug] defend,The fierce [wugs] defend,The fierce [wugs] defends,7,7,1f88e323-77ce-491e-8ff4-ea6da234a912,2e8a9df1-be8a-43d6-a04b-56f153ed8ca7,0b6361a0-47da-401c-81dd-ed485c48db79
567,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The graceful [wug],The graceful [wugs],The graceful [wug] taps,The graceful [wug] tap,The graceful [wugs] tap,The graceful [wugs] taps,7,7,a3e75145-917e-4d3d-857a-7b1b0bbfb302,d323f671-5fdd-4bc6-b9dd-bee4b78fc94c,2a2a158a-c220-4ca2-b776-8f1df3962506
568,test,verb,0,target_verb_att0_opp,[wug],[wugs],emerges,emerge,The clever [wug],The clever [wugs],The clever [wug] emerges,The clever [wug] emerge,The clever [wugs] emerge,The clever [wugs] emerges,7,7,60ed288c-8601-4b3a-98d0-979565783134,52959955-fcfa-4dd9-b851-bcdc6ef50ebb,164de296-c704-4ff7-9f44-9c63be594691
569,test,verb,0,target_verb_att0_opp,[wug],[wugs],rows,row,The clever [wug],The clever [wugs],The clever [wug] rows,The clever [wug] row,The clever [wugs] row,The clever [wugs] rows,7,7,c1db11a4-4473-4ae0-a6c1-0729ac8fc4d1,ea1dce82-8246-4f80-bef5-d121284ad68e,c6eba332-c0b3-4057-973d-714ec7555c1f
